overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,composite_score,super_landmark,global_pagerank,pr_pct,local_betweenness,lpr_pct,global_betweenness,bw_pct,bridge_score,in_degree,out_degree,community_size
135,1327287,"E. P. Royappa vs State Of Tamil Nadu & Anr on 23 November, 1973",1973.0,https://indiankanoon.org/doc/1327287/,case,0,C0_S13,0.938873,True,7.894e-05,0.9551900170164492,1.77045e-05,0.9013045944412933,8.8779e-06,0.9470599357156362,8.7407e-06,52,9,10922
138,45852197,P_V_Narasimha_Rao_vs_State_Cbi_Spe_on_17_April_1998,1998.0,https://indiankanoon.org/doc/45852197/,case,0,C0_S11,0.937909,True,3.804e-05,0.9143505388542258,2.49973e-05,0.9143505388542258,5.53666e-05,0.9816600491586311,5.51729e-05,8,121,10922
142,281568,"The Quarry Owners Association vs The State Of Bihar & Ors on 8 August, 2000",2000.0,https://indiankanoon.org/doc/281568/,case,6,C6,0.936741,True,3.486e-05,0.9062204575534127,5.22778e-05,0.938835318585744,2.40755e-05,0.9701266780109662,2.40694e-05,8,64,1341
146,1546400,"State Of Gujarat vs Patel Raghav Natha & Ors on 21 April, 1969",1969.0,https://indiankanoon.org/doc/1546400/,case,5,C5_S2,0.935829,True,3.561e-05,0.9092456040839478,7.86925e-05,0.9504632255624882,1.1702e-05,0.9557572319909245,1.16148e-05,12,13,4132
147,1664373,"Raptakos Brett And Co. Ltd vs Ganesh Property on 8 September, 1998",1998.0,https://indiankanoon.org/doc/1664373/,case,2,C2_S42,0.935148,True,0.00014944,0.9807146908678389,2.33852e-05,0.9109472490073738,1.9033e-06,0.9003592361505011,1.8082e-06,8,48,7913
149,366376,"Gujarat Electricity Board,Thermal ... vs Hind Mazdoor Sabha & Ors on 9 May, 1995",1995.0,https://indiankanoon.org/doc/366376/,case,0,C0_S9,0.934265,True,5.258e-05,0.9326904896955946,9.50151e-05,0.9563244469653999,3.8202e-06,0.9203062960862167,3.0841e-06,5,66,10922
150,1686005,"Municipal Corporation Of Greater ... vs Dr. Hakimwadi Tenants Association & Ors on 24 November, 1987",1987.0,https://indiankanoon.org/doc/1686005/,case,5,C5_S19,0.934104,True,7.886e-05,0.9550009453582908,4.90315e-05,0.9373227453204764,2.6169e-06,0.9079221024768387,2.5625e-06,5,9,4132
178,1918767,Sardar_Sardul_Singh_Caveeshar_vs_State_Of_Maharashtra_And_Connected_on_18_March_1963,1963.0,https://indiankanoon.org/doc/1918767/,case,4,C4_S2,0.921904,True,6.32e-05,0.9429003592361505,1.98984e-05,0.9060313858952543,2.7482e-06,0.9092456040839478,2.6795e-06,6,4,7289
209,1539693,"Gandhi Grah Nirman Sahkari Samiti Ltd. ... vs State Of Rajasthan And Ors on 30 March, 1993",1993.0,https://indiankanoon.org/doc/1539693/,case,5,C5_S20,0.912488,True,3.661e-05,0.9113253923236907,3.63196e-05,0.9255057666855738,2.202e-06,0.9045188126299868,2.1617e-06,4,23,4132
212,928028,"Gura Singh vs The State Of Rajasthan on 6 December, 2000",2000.0,https://indiankanoon.org/doc/928028/,case,4,C4_S19,0.912025,True,4.198e-05,0.9188882586500283,2.33292e-05,0.9107581773492154,2.2297e-06,0.9050860276044621,2.1492e-06,5,25,7289
