node_id,name,in_corpus,case,year
44247966,section 59	 (2),False,,
115723854,section 56,False,,
103249210,section	 31,False,,
108791183,Regulation  18 (B),False,,
129683194,section 1 (1),False,,
28925495,section 104,False,,
43654,section 4,False,,
167114651,section 6 (3),False,,
90292408,Section 8,False,,
1222415,sections 53,False,,
1008523,section	306  (1),False,,
1093471,"section
176",False,,
111915213,Section 49 (1),False,,
132713986,"Section
50",False,,
103078044,Section 51,False,,
70125058,section 52,False,,
165831753,Section  59	 (1),False,,
237570,Constitution Act,False,,
54125725,Section 3 (43) (a),False,,
25905678,section	 306  (1),False,,
89201315,section 106,False,,
39332960,section 223,False,,
180021015,section	110,False,,
68144071,"Section
176 (1)",False,,
183084420,section 65,False,,
10558664,section	 32,False,,
1591621,"Secretary of
State  v.  Hari Bhanji",False,,
887227,"Oriental
Steam  Navigation Company v. The Secretary of State",False,,
32251268,S.279,False,,
92616942,section 88,False,,
1833404,"Balvant Ramchandra Natu v.  The  Secretary  of
State",False,,
1842812,Vedlapatla Suryanarayana v. Province of Madras,False,,
1792838,section	 6,False,,
266087,"Hubli Electricity Co. Ltd. v.	Province  of
Bombay",False,,
261195,"Indian  Electricity	Act,
1910",False,,
1917840,A.C. Mohamed v. Sailendra Nath  Mitra,False,,
142077114,"West Bengal Requisition	 and
Control	 (Temporary  Provisions) Act, 1947",False,,
170488695,Section 16,False,,
183945570,"section 6
(1)",False,,
1833042,,True,Raja_Kamala_Ranjan_Roy_vs_Baijnath_Bajoria_on_1_December_1950,1950.0
1141020,Ram Gopal v. Nand Lal and Other,True,Ram_Gopal_vs_Nand_Lal_And_Others_on_14_November_1950,1950.0
1031695,section 8,False,,
1418896,1)  Vide Sasiman Chowdhurain v. Shib Narayan,False,,
1182946,Bhaidas	 Shivdas  v. Bai Gulab & Another,False,,
1967040,,True,Seth_Premchand_Satramdas_vs_The_State_Of_Bihar_on_30_November_1950,1950.0
151299,Sri Mahanth Harihar Gir v. Commissioner	 of  Income-,False,,
