overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
464,518414,"Commissioner Of Income-Tax Bombay Etc vs Podar Cement Pvt. Ltd. Etc on 27 May, 1997",1997.0,https://indiankanoon.org/doc/518414/,case,1,C1_S6,expanded,0.0002765819171994205,0.0007558343409136667,0.0034041091660906918,0.5833333333333334,4,8,0.8704339051463168,0.8597376387487387,0.7182643794147326,0.8357214934409687,False
465,1732853,The Criminal Law Amendment Act,,https://indiankanoon.org/doc/1732853/,reference,0,C0_S1,expanded,0.0003317547344997917,0.000524847572999052,0.00407992750865996,0.17647058823529413,17,0,0.9043390514631685,0.8123107971745711,0.7442986881937437,0.8355196770938446,False
466,76520796,Andhra Pradesh Land Reforms (Ceiling on Agricultural Holdings) Act,,https://indiankanoon.org/doc/76520796/,reference,5,C5_S0,keyword,0.0002525482058010018,0.0005009809167939347,0.01076710133313907,0.625,8,0,0.8456104944500504,0.8076690211907165,0.8701311806256307,0.8353380423814329,False
467,1235907,"Union Of India vs H. S. Dhillon on 21 October, 1971",1971.0,https://indiankanoon.org/doc/1235907/,case,0,C0_S16,expanded,0.00031433698575752565,0.0009229613809616561,0.0013788075486887595,0.45714285714285713,14,21,0.8956609485368315,0.8849646821392533,0.6153380423814329,0.8353178607467205,False
468,82542966,"Air (Prevention and Control of Pollution) Act, 1981",,https://indiankanoon.org/doc/82542966/,reference,12,C12_S4,expanded,0.0004347027793269783,0.00020415408830586103,0.026033335122942057,0.08333333333333333,24,0,0.9400605449041373,0.6770938446014128,0.9418768920282543,0.8352371342078709,False
469,1924102,Thakur_Kishan_Singh_vs_Arvind_Kumar_on_7_September_1994,1994.0,https://indiankanoon.org/doc/1924102/,case,5,C5_S4,expanded,0.00041914869527990607,0.0003636767072366533,0.0051518921122011025,0.2,3,2,0.9366296670030273,0.7626639757820384,0.7759838546922301,0.8349142280524724,False
470,1747770,"T. 
Arivandandam v. T.V. Satyapal and Anr.",,https://indiankanoon.org/doc/1747770/,reference,5,C5_S10,expanded,0.000408814087536941,0.0002387502314584964,0.01510112155092544,0.0,10,0,0.934409687184662,0.7023208879919274,0.9003027245206862,0.834752774974773,False
471,1475875,"Commnr. Of Customs (Imports), Mumbai vs M/S. Tullow India Operations Ltd",,https://indiankanoon.org/doc/1475875/,case,8,C8_S8,expanded,0.00023680887780475792,0.0007126569133383009,0.00684931506849315,0.3333333333333333,2,1,0.8266397578203835,0.8506559031281534,0.8182643794147326,0.8345711402623613,False
472,89319139,"M.P. Steel Corporation vs Commnr. Of Central Excise on 23 April, 2015",2015.0,https://indiankanoon.org/doc/89319139/,case,5,C5_S1,expanded,0.00015592610437970158,0.0021917149325246603,0.014749017685826236,0.5625,3,29,0.6807265388496468,0.9560040363269425,0.898284561049445,0.8343491422805247,False
473,764031,"A.P. Pollution Control Board vs Prof.M.V.Nayudu (Retd.) & Others on 27 January, 1999",1999.0,https://indiankanoon.org/doc/764031/,case,12,C12_S3,expanded,0.000341675227514764,0.00024562279922959,0.02595666385652607,0.21052631578947367,11,8,0.9089808274470232,0.7049445005045408,0.9412714429868819,0.833824419778002,False
