overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
3100,164765023,Food_Corporation_Of_India_vs_Brihanmumbai_Mahanagar_Palika_on_19_March_2020,2020.0,https://indiankanoon.org/doc/164765023/,case,1,C1_S16,expanded,0.00011287045123371562,0.00013688847430689838,0.00021439971302470448,0.6666666666666666,0,9,0.1432896064581231,0.6209889001009081,0.45893037336024217,0.397497477295661,False
3102,1849088,"Diwan Bros vs Central Bank Of India, Bombay And Others on 7 May, 1976",1976.0,https://indiankanoon.org/doc/1849088/,case,1,C1_S9,expanded,0.00011287045123371562,8.098812741693721e-05,0.0011525985518984025,0.42857142857142855,0,7,0.1432896064581231,0.549949545913219,0.5955600403632694,0.39640766902119073,False
3103,63497145,H. Anjanappa vs A. Prabhakar,2025.0,https://indiankanoon.org/doc/63497145/,case,5,C5_S2,expanded,0.00011287045123371562,0.00011115091877423732,0.00042706767909768807,0.42857142857142855,0,7,0.1432896064581231,0.5923309788092835,0.5099899091826438,0.3962462159434914,False
3104,132373854,"Msr Leathers vs S. Palaniappan And Anr on 26 September, 2012",2012.0,https://indiankanoon.org/doc/132373854/,case,7,C7_S6,expanded,0.00013217251123323362,1.6725861976994268e-06,0.0,0.3333333333333333,1,2,0.5729566094853683,0.3253279515640767,0.18446014127144297,0.3962058526740666,False
3105,155199616,"K.S.Panduranga vs State Of Karnataka on 1 March, 2013",2013.0,https://indiankanoon.org/doc/155199616/,case,0,C0_S16,expanded,0.00011287045123371562,0.00010704176889474444,0.00048655929968692975,0.36363636363636365,0,11,0.1432896064581231,0.58627648839556,0.5214934409687184,0.396125126135217,False
3107,154656782,Mukund Dewangan vs Oriental Ins.Co.Ltd,2016.0,https://indiankanoon.org/doc/154656782/,case,7,C7_S7,expanded,0.00011766375626787967,9.484272908568126e-06,3.965691592888022e-05,0.25,1,3,0.41876892028254287,0.3751765893037336,0.3922300706357215,0.39602421796165493,False
3110,1979324,"M/S. Hindustan Steel Limited, Rourkela vs Smt. Kalyani Banerjee And Others on 4 December, 1972",1972.0,https://indiankanoon.org/doc/1979324/,case,1,C1_S0,expanded,0.00012296973457585967,1.8139288322062697e-05,0.0,0.6666666666666666,1,2,0.49182643794147324,0.40544904137235116,0.18446014127144297,0.3958022199798184,False
3111,155215460,National Agricultural Cooperative ... vs Alimenta S.A.,2020.0,https://indiankanoon.org/doc/155215460/,case,11,C11_S3,expanded,0.00011287045123371562,0.00014412446635714586,0.00012116408815855913,0.5555555555555556,0,9,0.1432896064581231,0.6294651866801211,0.43047426841574166,0.395196770938446,False
3112,17863166,The_State_Of_Kerala_vs_K_Ajith_on_28_July_2021,2021.0,https://indiankanoon.org/doc/17863166/,case,13,C13_S1,expanded,0.0001174355036472052,7.980728532719695e-06,6.879162237708361e-05,0.42857142857142855,1,6,0.4166498486377397,0.36730575176589303,0.40736629667003027,0.39505549949545915,False
3115,32431920,"Badami(D) Tr.Her Lr vs Bhali on 22 May, 2012",2012.0,https://indiankanoon.org/doc/32431920/,case,1,C1_S0,expanded,0.00011287045123371562,0.00014469169068782243,0.0001023502539937019,0.5,0,6,0.1432896064581231,0.6296670030272452,0.4236125126135217,0.3939051463168517,False
3120,177074256,"Bengal Ambuja Housing Development ... vs Pramila Sanfui And Ors on 18 September, 2015",2015.0,https://indiankanoon.org/doc/177074256/,case,9,C9_S6,expanded,0.00011287045123371562,0.0003251165043549571,0.0,0.6,0,5,0.1432896064581231,0.7473259334006055,0.18446014127144297,0.39313824419778004,False
3121,174153374,"Indrakashi Devi vs The State Of Karnataka on 10 December, 2024",2024.0,https://indiankanoon.org/doc/174153374/,case,12,C12_S5,expanded,0.00011287045123371562,0.00032439500264651885,0.0,0.6,0,5,0.1432896064581231,0.746518668012109,0.18446014127144297,0.39281533804238145,False
3122,26098995,Sabarmati Gas Limited vs Shah Alloys Limited,2023.0,https://indiankanoon.org/doc/26098995/,case,7,C7_S12,expanded,0.00011287045123371562,8.058809538904524e-05,0.0009420352825269344,0.14285714285714285,0,7,0.1432896064581231,0.5493440968718466,0.5786074672048436,0.3927749747729566,False
3124,1121672,"Union Of India vs Shri Ram Mehar & Anr on 26 October, 1972",1972.0,https://indiankanoon.org/doc/1121672/,case,2,C2_S3,expanded,0.0001202447666708911,2.8073199365729384e-05,0.0,0.3333333333333333,1,2,0.4560040363269425,0.4330978809283552,0.18446014127144297,0.3925327951564077,False
3129,73631001,S.T. Sadiq vs State Of Kerala & Ors,2015.0,https://indiankanoon.org/doc/73631001/,case,1,C1_S2,expanded,0.00011287045123371562,0.00013700918254098193,0.0001237070092477724,0.6,0,5,0.1432896064581231,0.6213925327951564,0.43107971745711404,0.3920887991927346,False
3131,101605278,Mahabir vs The State Of Haryana,2025.0,https://indiankanoon.org/doc/101605278/,case,1,C1_S4,expanded,0.00011287045123371562,0.00032134886603346147,0.0,0.6666666666666666,0,6,0.1432896064581231,0.7436932391523713,0.18446014127144297,0.3916851664984864,False
3135,38106745,Securities And Exchange Board Of India vs Gaurav Varshney And Anr,2016.0,https://indiankanoon.org/doc/38106745/,case,0,C0_S11,expanded,0.00011287045123371562,0.00012974868950583327,0.00014908048555867395,0.5,0,8,0.1432896064581231,0.6147325933400606,0.43955600403632694,0.39112008072653887,False
3138,81114425,"M/S. Econ Antri Ltd vs M/S. Rom Industries Ltd. & Anr on 26 August, 2013",2013.0,https://indiankanoon.org/doc/81114425/,case,11,C11_misc,expanded,0.00011287045123371562,0.0001406429387867872,7.732193811806378e-05,0.7142857142857143,0,7,0.1432896064581231,0.6252270433905146,0.4122098890010091,0.38984863773965694,False
