parent_community,subcommunity_id,size,top_label,top5_labels,top_betweenness_label
5,C5_S15,10,"Hindu Marriage Act, 1955","Satish Chander Ahuja vs Sneha Ahuja | N.Rajendran vs S.Valli on 3 February, 2022 | Mohd. Asif Naseer vs West Watch Company Through Its ... | Rajnesh vs Neha | Rinku Baheti vs Sandesh Sharda on 19 December, 2024","N.Rajendran vs S.Valli on 3 February, 2022"
5,C5_S16,9,Kirpa Ram (D) Tr.Lrs. . vs Surender Deo Gaur,Kirpa Ram (D) Tr.Lrs. . vs Surender Deo Gaur | Chandragouda And Anr. vs Shekharagouda S. Pittanagoudar (Dead) ... | South Delhi Municipal Corporation vs M/S. Today Homes And Infrastructure ... | Madhavan Nair vs Ramankutty And Anr. | Hubli Dharwar Municipal Corporation ... vs H.S.Mohd.Khan (Dead) By Lrs. & Ors,Kirpa Ram (D) Tr.Lrs. . vs Surender Deo Gaur
5,C5_S2,31,Nagubai Ammal and Ors. v. B. Shama Rao and Ors.,"Vidur Impex & Traders Pvt.Ltd.& Ors vs Tosh Apartments Pvt.Ltd.& Ors | Sarvinder Singh vs Dalip Singh & Ors on 2 August, 1996 | Sanjay Verma vs Manik Roy And Ors | Ramesh Hiranand Kundanmal vs Municipal Corporation Of Greater ... on 4 March, 1992 | Dhurandhar Prasad Singh vs Jai Prakash University And Ors on 24 July, 2001",Thomson Press (India) Ltd vs Nanak Builders & Investrs.P.Ltd & Ors
5,C5_S3,31,"Delhi Land Reforms Act, 1954","Khatri Hotels P.Ltd.& Anr vs Union Of India & Anr on 9 September, 2011 | Union_Of_India_vs_Ibrahim_Uddin_Anr_on_17_July_2012 | Basayya I. Mathad vs Rudrayya S. Mathad & Ors | Syed_Abdul_Khader_vs_Rami_Reddy_And_Ors_on_29_November_1978 | Mahabir Prasad vs Jage Ram & Ors on 6 January, 1971",Union_Of_India_vs_Ibrahim_Uddin_Anr_on_17_July_2012
5,C5_S4,29,P.T. Munichikkanna Reddy & Ors vs Revamma And Ors,P.T. Munichikkanna Reddy & Ors vs Revamma And Ors | Md. Mohammad Ali (Dead) By Lrs vs Sri Jagadish Kalita & Ors | Ravinder Kaur Grewal vs Manjit Kaur | M Siddiq (D) Thr Lrs vs Mahant Suresh Das & Ors | S_M_Karim_vs_Mst_Bibi_Sakina_on_14_February_1964,M Siddiq (D) Thr Lrs vs Mahant Suresh Das & Ors
5,C5_S5,28,Jharkhand State Housing Board vs Shri Didar Singh,"Jharkhand State Housing Board vs Shri Didar Singh | Nair_Service_Society_Ltd_vs_Rev_Father_K_C_Alexander_Ors_on_12_February_1968 | Union Of India & Ors vs Vasavi Co-Op. Housing Society Ltd. & Ors on 7 January, 2014 | Nagar_Palika_Jind_vs_Jagat_Singh_Advocate_on_28_March_1995 | Maria Margadia Sequeria Fernandes & Ors vs Erasmo Jack De Sequeria (D) Tr.Lrs.& Ors","The State Of Punjab vs Bhagwantpal Singh Alias Bhagwant Singh ... on 10 July, 2024"
5,C5_S6,20,"N.V. Srinivasa 
Murthy v. Mariyamma","N.V. Srinivasa 
Murthy v. Mariyamma | Popat And Kotecha Property vs State Bank Of India Staff Association | Ramesh_B_Desai_And_Others_vs_Bipin_Vadilal_Mehta_And_Others_on_11_July_2006 | Ittavira_Mathai_vs_Varkey_Varkey_And_Another_on_15_January_1963 | Nusli Neville Wadia vs Ivory Properties",Nusli Neville Wadia vs Ivory Properties
5,C5_S7,20,Barasat Eye Hospital Thr. Its Rep. vs Kaustabh Mondal,Barasat Eye Hospital Thr. Its Rep. vs Kaustabh Mondal | B_L_Sreedhar_Ors_vs_K_M_Munireddy_Dead_And_Ors_on_5_December_2002 | Bishan_Singh_Others_vs_Khazan_Singh_Another_on_20_May_1958 | Indira Bai v. Nand Kishore | Ram_Saran_Lall_And_Others_vs_Mst_Domini_Kuer_And_Others_on_27_April_1961,Barasat Eye Hospital Thr. Its Rep. vs Kaustabh Mondal
5,C5_S8,20,"Code of Civil Procedure (Amendment) Act, 1950","Shreenath & Another vs Rajesh & Others on 13 April, 1998 | Usha Sinha vs Dina Ram & Ors on 14 March, 2008 | Sameer Singh & Anr vs Abdul Rab & Ors on 14 October, 2014 | Maya Devi vs Lalta Prasad on 19 February, 2014 | Noorduddin vs Dr. K.L. Anand on 6 October, 1994","Periyammal (Dead Thr. Lrs.) vs V. Rajamani And Anr. Etc on 6 March, 2025"
5,C5_S9,19,"Santosh Hazari vs Purushottam Tiwari (Dead) By Lrs on 8 February, 2001","Santosh Hazari vs Purushottam Tiwari (Dead) By Lrs on 8 February, 2001 | Kshitish Chandra Purkait vs Santosh Kumar Purkait & Ors on 7 May, 1997 | Vidhyadhar vs Manikrao & Anr. on 17 March, 1999 | Nazir Mohamed vs J.Kamala And Ors. | Panchugopal Barua & Ors vs Umesh Chandra Goswami & Ors on 12 February, 1997","Santosh Hazari vs Purushottam Tiwari (Dead) By Lrs on 8 February, 2001"
