doc_id,case,community,subcommunity,out_citations,in_citations
49846809,"Usha Bharti vs State Of U.P. & Ors on 28 March, 2014",0,0,10,1
74158,"State Of U.P. & Ors.Etc vs Pradhan Sangh Kshettra Samiti & Ors. Etc on 24 March, 1995",0,0,1,1
98511521,"Union Of India vs M/S Mohit Minerals Pvt. Ltd. on 19 May, 2022",0,0,2,1
1357355,"U. P. Rashtriya Chini Milladhikari ... vs The State Of U. P. & Ors on 2 July, 1995",0,0,0,1
160034538,The State Of Rajasthan vs Leela Ram @ Leela Dhar,0,0,0,1
476525,"Pratap Chandra Mehta vs State Bar Council Of M.P.& Ors on 9 August, 2011",0,0,2,0
179834424,179834424,0,0,4,4
136212417,"Rajasthan State Indst.Dev.&Inv.Corpn vs Subhash Sindhi Coop.Hsg.Society ... on 12 February, 2013",0,0,16,1
33396,"Ch. Tika Ramji & Others, Etc vs The State Of Uttar Pradesh & Others on 24 April, 1956",0,0,0,26
1308614,"Goodricke Group Ltd. And Ors vs State Of W.B. And Ors on 25 November, 1994",0,0,10,6
1216757,Rai Ramkrishna Others vs The State Of Bihar on 11 February 1963,0,0,4,8
64940295,Union Of India vs Bengal Shrachi Housing Development ...,0,0,2,1
90876,"The Municipal Corporation For City Of ... vs Bharat Forge Co. Ltd. & Ors on 10 March, 1995",0,0,7,2
1717899,"State Of Bihar And Ors vs Indian Aluminium Company And Ors on 24 September, 1997",0,0,3,1
21773,H R S Murthy vs Collector Of Chittoor And Another on 4 February 1964,0,0,1,8
186705056,Jayant Verma . vs Union Of India,0,0,7,1
258680,"M. K. Paplah & Sons vs The Excise Commissioner & Anr on 20 February, 1975",0,0,3,3
1516582,1516582,0,0,8,5
304499,The Automobile Transport Rajasthan vs The State Of Rajasthan And Others And on 9 April 1962,0,0,1,21
865455,State Of Orissa vs M A Tulloch And Co And Connected on 16 August 1963,0,0,1,22
192605638,"Banatwala & Company vs L.I.C.Of India & Anr on 19 August, 2010",0,0,9,0
179331686,"Mineral Area Development Authority Etc vs M/S Steel Authority Of India on 25 July, 2024",0,0,10,0
691213,"Hukam Chand Etc vs Union Of India & Others(With Connected ... on 22 August, 1972",0,0,1,1
1058443,"Belsund Sugar Co.Ltd vs State Of Bihar & Ors. Etc on 10 August, 1999",0,0,1,8
66088684,"State Of U.P. & Ors vs Jai Prakash Associates Ltd on 18 October, 2013",0,0,4,0
1752395,"Gauri Shankar vs State Of U.P on 12 August, 1993",0,0,7,0
581571,"A Secretary, Regional Transport ... vs D.P. Sharma And Others on 12 December, 1988",0,0,0,1
1750663,"Thakur Amar Singhji vs State Of Rajasthan(And Other ... on 15 April, 1955",0,0,5,12
56785029,"Ram Kirpal Bhagat & Ors vs State Of Bihar on 13 November, 1969",0,0,1,2
92025453,State Of Kerala & Ors vs M/S Kerala Rare Earth & Minerals Limited ...,0,0,9,0
164693074,"M/S Patil Automation Private Limited vs Rakheja Engineers Private Limited on 17 August, 2022",0,0,10,2
1482259,"Ujagar Prints Etc vs Union Of India & Ors. Etc on 4 November, 1988",0,0,4,16
1035057,1035057,0,0,15,10
141946357,Jindal Stainless Ltd.& Anr vs State Of Haryana & Ors,0,0,74,6
110454153,"State Of Gujarat & Anr vs Manoharsinhji Pradyumansinhji Jadeja on 4 December, 2012",0,0,3,1
1235907,"Union Of India vs H. S. Dhillon on 21 October, 1971",0,0,5,15
1247047,"Bharat Coking Coal Ltd. And Anr vs State Of Bihar And Ors on 17 August, 1990",0,0,5,8
810499,"Federation Of Hotel & Restaurant ... vs Union Of India & Ors on 2 May, 1989",0,0,5,12
879535,879535,0,0,44,18
1432129,"The Central India Spinning Andweaving ... vs The Municipal Committee, Wardha on 18 December, 1957",0,0,0,2
1291316,"M.P. V. Sundararamier & Co vs The State Of Andhra Pradesh& ... on 11 March, 1958",0,0,8,20
163434708,"State Of Uttarakhand (Prev.U.P.) vs Mohan Singh & Ors on 12 September, 2012",0,0,2,0
1074,"Dhondiram Tatoba Kadam vs Ramchandra Balwantrao Dubal on 27 July, 1993",0,0,0,1
1772349,"Md.Shahabuddin vs State Of Bihar & Ors on 25 March, 2010",0,0,10,4
69910146,"Devidas Ramachandra Tuljapurkar vs State Of Maharashtra & Ors on 14 May, 2015",0,1,6,1
725224,"R. M. D. Chamarbaugwalla vs The Union Of India(With Connected ... on 9 April, 1957",0,1,3,27
338008,"Selvi & Ors vs State Of Karnataka & Anr on 5 May, 2010",0,1,5,7
1515299,"Sidhartha Vashisht @ Manu Sharma vs State (Nct Of Delhi) on 19 April, 2010",0,1,8,15
36995966,Benedict Denis Kinny vs Tulip Brian Miranda,0,1,5,0
9513811,"Sushil Ansal vs State Thr.Cbi on 5 March, 2014",0,1,10,1
189192867,"State Of Bihar vs Kamla Kant Misra And Ors. on 29 October, 1969",0,1,2,2
175436579,Adarsh Cooperative Housing Society Ltd vs Union Of India,0,1,1,0
50969306,"Vinod Dua vs Union Of India on 3 June, 2021",0,1,16,1
120603172,State Of Himachal Pradesh vs Sanjay Kumar Alias Sunny,0,1,0,1
775241,"Central Bureau Of Investigation vs State Of Rajasthan And Ors on 8 July, 1996",0,1,0,1
25720691,"Iffco Tokio General Insurance Company ... vs Pearl Beverages Ltd. on 12 April, 2021",0,1,1,0
82461587,Anuradha Bhasin vs Union Of India,0,1,15,3
1510201,Raja Birakishore vs The State Of Orissa on 5 March 1964,0,1,0,2
184536583,Santhini vs Vijaya Venketesh,0,1,8,0
