doc_id,case,community,subcommunity,out_citations,in_citations
48113,"Chhotan Prasad Singh & Ors vs Hari Dusadh & Ors on 24 November, 1976",0,1,0,1
172073149,"Kishore Samrite vs State Of U.P. & Ors on 18 October, 2012",0,1,7,2
241064,241064,0,1,0,1
480602,"The State Of Bihar vs Abdul Majid on 11 February, 1954",0,1,0,7
1695813,"Suraj Pal Sahu vs State Of Maharashtra &Ors on 25 September, 1986",0,1,1,1
110957682,110957682,0,1,9,13
23436105,"Ajit Mohan vs Legislative Assembly, National ...",0,1,13,1
127517806,Justice K.S.Puttaswamy(Retd) vs Union Of India,0,1,75,13
1316559,"Union Of India And Ors vs Sukumar Sengupta And Ors on 3 May, 1990",0,1,4,0
49043,"The State Of Bihar vs Maharajadhiraja Sir Kameshwar Singh Of ... on 2 May, 1952",0,1,2,1
1648734,Ram Kishore Sen And Others vs Union Of India And Others on 11 August 1965,0,1,0,6
679149,"Khudiram Das vs The State Of West Bengal & Ors on 26 November, 1974",0,1,4,11
157064185,"Nenavath Bujji vs The State Of Telangana on 21 March, 2024",0,1,2,0
698472,"State Of Maharashtra vs Bharat Shanti Lal Shah & Ors on 1 September, 2008",0,1,9,7
1681170,1681170,0,1,2,5
91938676,Justice K.S.Puttaswamy(Retd) And Anr. vs Union Of India And Ors.,0,1,62,20
1179783,"R. M. Malkani vs State Of Maharashtra on 22 September, 1972",0,1,2,5
42184625,Joseph Shine vs Union Of India,0,1,17,3
109582282,Essar Steel Ltd vs Union Of India & Ors,0,1,12,1
125596,"Bennett Coleman & Co. & Ors vs Union Of India & Ors on 30 October, 1972",0,1,9,24
882228,"Fagu Shaw, Etc., Etc vs The State Of West Bengal on 20 December, 1973",0,1,2,1
14222497,"Sk Nausad Rahaman vs Union Of India on 10 March, 2022",0,1,2,0
190567716,"Nitisha vs Union Of India on 25 March, 2021",0,1,5,2
542988,"P.Rathinam vs Union Of India on 26 April, 1994",0,1,6,7
1228316,1228316,0,1,16,0
498126,"Pt. Parmanand Katara vs Union Of India & Ors on 28 August, 1989",0,1,0,6
1735815,"Additional District Magistrate, ... vs S. S. Shukla Etc. Etc on 28 April, 1976",0,1,30,1
104249035,104249035,0,1,10,5
137854586,"Cuddalore Powergen Corporation Ltd vs M/S Chemplast Cuddalore Vinyls Limited ... on 15 January, 2025",0,1,7,0
94785495,"Subhash Popatlal Dave vs Union Of India & Anr on 16 July, 2013",0,1,4,0
235821,"Aruna Ramchandra Shanbaug vs Union Of India & Ors on 7 March, 2011",0,1,3,3
160899816,Union Of India vs Agricas Llp,0,1,6,0
1428293,"Bishan Das And Others vs The State Of Punjab And Others on 19 April, 1961",0,1,2,6
128161,"Atiabari Tea Co., Ltd. vs The State Of Assam And Ors. on 26 September, 1960",0,1,5,0
1382411,"The State Of Bombay vs Atma Ram Sridhar Vaidya on 25 January, 1951",0,1,0,7
1747577,Satwant Singh Sawhney vs D Ramarathnam Assistant Passport on 10 April 1967,0,1,1,9
17021567,"Re-Ramlila Maidan Incident Dt ... vs Home Secretary And Ors on 23 February, 2012",0,1,3,1
55466355,Shamsher Singh Verma vs State Of Haryana,0,1,2,0
