source,target
1563293,439849
263011,1435886
263011,379047
263011,328740
263011,201013
476389,822045
476389,751891
476389,1865901
569125,741749
569125,1266374
1266374,1425329
1266374,1093168
1266374,332955
1266374,255020
1266374,1536230
954858,101564
954858,492849
954858,1150184
954858,5196
954858,1640776
954858,218169
954858,1310951
364583,1703243
364583,663679
364583,1314784
364583,288092
22125680,967815
22125680,895664
22125680,1703983
293615,967815
293615,895664
293615,1703983
760623,1996477
760623,549992
760623,1270365
1699330,1151428
1699330,438170
1922997,240499
1922997,1325151
983398,273525
983398,447461
1733535,1102062
1733535,834589
1733535,1558635
1733535,1386353
1733535,1528958
1733535,225492
761424,1698320
1125589,690534
1858217,525955
1858217,427993
1858217,1870292
1693163,569669
1693163,880936
1879199,1862774
1879199,1649194
859435,1054414
859435,34063
859435,1502418
1285834,1387185
1285834,606816
1285834,1718643
1285834,81894
1285834,516898
12637,923991
12637,450105
12637,1853481
12637,1483336
12637,1548444
12637,823444
12637,1627616
12637,1050499
12637,554839
12637,1043522
1645156,238618
1645156,1895255
1645156,1525813
1811199,777743
1811199,1248239
1811199,813107
853415,605777
853415,362254
323835,946159
1536230,538188
797439,360017
797439,230200
797439,1805316
797439,1742477
797439,1879530
797439,549514
854341,3429
217279,720212
217279,1622523
217279,1701365
217279,1545576
217279,524198
1389078,1107536
1389078,1236045
1389078,408158
1389078,531560
887280,678245
51914,1411268
51914,332955
360008,1659001
360008,1900683
360008,1138078
1397739,1432129
1953607,791703
1083046,1318986
1083046,1157189
1083046,319375
423695,888353
423695,1135657
423695,923991
656488,1531171
656488,1074998
130794,1916440
130794,905146
1297847,165861
1297847,1354520
1297847,82363
1297847,519726
1297847,1510607
1297847,1586052
1297847,1356757
1297847,94289
1297847,359014
740650,328596
740650,1178815
740650,1994395
641763,1154741
641763,1270365
1727403,1136229
1727403,1445971
1727403,498632
1727403,403364
104377,1025842
408233,41574
793151,1808033
793151,234567
793151,1954356
561533,1376894
561533,1430396
561533,1063151
561533,987299
561533,1652416
561533,1012363
460659,1235807
460659,861817
22221,932898
22221,1802788
1068451,1834866
1068451,922036
182124,488329
182124,560037
182124,1949617
182124,310171
182124,247933
182124,325597
182124,1025787
182124,1441638
200923,167539
200923,179373
200923,1666686
200923,951561
200923,791231
200923,30692
1137092,493375
938694,165861
938694,430967
938694,1498182
271205,157516
271205,1653414
271205,1921768
1504197,1582677
35670,1802788
35670,932898
35670,22221
35670,1507618
1102942,1435886
1615523,161971
237664,1181948
251562,1457646
1662637,1457646
