case,year,link,downloaded file
Mahant_Pragdasji_Guru_Bhagwandasji_vs_Patel_Ishwarlalbhai_Narsibhai_on_7_March_1952,1952,http://indiankanoon.org/doc/1533020/,https://drive.google.com/file/d/1E67rgV6bZkmPFRupC1X-C60tfJ1YMWn4/view
Makhan_Singh_vs_State_Of_Punjab_And_Connected_Appeals_on_2_September_1952,1952,http://indiankanoon.org/doc/834589/,https://drive.google.com/file/d/1OtheXkg5nvsP16h_s8t1vv_2qFwwpRET/view
Mohanlal_Goenka_vs_Benoy_Krishna_Mukherjeeand_Others_on_9_December_1952,1952,http://indiankanoon.org/doc/835938/,https://drive.google.com/file/d/1s9iut1Bb0qTsrxWVGIFW52clKYq24hBN/view
Mohd_Amin_And_Others_vs_Vakil_Ahmed_And_Others_on_22_October_1952,1952,http://indiankanoon.org/doc/1140709/,https://drive.google.com/file/d/1QXYN0Lhr-fijl5tBTNV6SCwHS9r2WlsH/view
Musammat_Phool_Kuer_vs_Musammat_Pem_Kuer_And_Another_Pandit_on_24_April_1952,1952,http://indiankanoon.org/doc/1574616/,https://drive.google.com/file/d/1crCMOlZn-22WQCCr5usPZBG2EDetKzk-/view
Nar_Hari_Sastri_And_Others_vs_Shri_Badrinath_Temple_Committee_on_9_May_1952,1952,http://indiankanoon.org/doc/801837/,https://drive.google.com/file/d/1F8YsLnlIhlz0ZCzq0q18GIJbIxqCfyZX/view
Pannalal_And_Another_vs_Mst_Naraini_And_Others_on_7_March_1952,1952,http://indiankanoon.org/doc/1252014/,https://drive.google.com/file/d/1N0ihfJhpAO-jyADObA4MW4xcrzYINw7Q/view
Raj_Bajrang_Bahadur_Singh_vs_Thakurain_Bakhtraj_Kuer_on_7_November_1952,1952,http://indiankanoon.org/doc/1230342/,https://drive.google.com/file/d/19VBy_hnn3lu6uMtq82VnLDUoEKcHBaeU/view
Raj_Lakshmi_Dasi_And_Others_vs_Banamali_Sen_And_Othersbholanath_Sen_on_27_October_1952,1952,http://indiankanoon.org/doc/1481962/,https://drive.google.com/file/d/1i_LAfyVe7R-opHLum6a7nJF_-kKbxgao/view
Raja_Bhupendra_Narain_Singha_Bahadur_vs_Maharaj_Bahadur_Singh_And_on_2_April_1952,1952,http://indiankanoon.org/doc/1914817/,https://drive.google.com/file/d/1sDo3x7ABEjnagRuR33GzexSFQL4CM_xL/view
Raja_Kamakshyanarayan_Singh_Bahadur_vs_Chohan_Ram_And_Another_on_23_October_1952,1952,http://indiankanoon.org/doc/1251841/,https://drive.google.com/file/d/1eXZo1hWbv3iLfyt6I0yaPL1XVCeNVML0/view
Raja_Suriya_Pal_Singh_vs_State_Of_U_P_Anr_on_2_May_1952,1952,http://indiankanoon.org/doc/511375/,https://drive.google.com/file/d/1QmKX9MU0vV8LHYBgR3iKlgvCgrU3frqJ/view
Raja_Suriya_Pal_Singh_vs_The_State_Of_U_P_And_Another_And_Other_on_27_May_1952,1952,http://indiankanoon.org/doc/629631/,https://drive.google.com/file/d/1GXipYXw6h59AJyRh8OtQB9TGNXRIgrTM/view
Sha_Mulchand_Co_Ltd_In_Liquidation_vs_Jawahar_Mills_Ltd_on_9_December_1952,1952,http://indiankanoon.org/doc/462743/,https://drive.google.com/file/d/1uMGzBIFkveYqaH1mslkjjX1XUxpxC1d4/view
Shrimant_Sardar_Bhujangarao_Daulatrao_vs_Shrimant_Malojirao_Daulatrao_Ghorpade_on_30_January_1952,1952,http://indiankanoon.org/doc/124022295/,https://drive.google.com/file/d/1W6KFsyHC1Ki20gRWioxWpkAljnBnXOp2/view
Shrimant_Sardar_Bhujangaraodaulatrao_vs_Shrimant_Malojirao_Daulatraoghorpade_on_30_January_1952,1952,http://indiankanoon.org/doc/591580/,https://drive.google.com/file/d/1OBLTiwAbpdaTNyx4eK0A9GH2NjCpmL2n/view
State_Of_Madras_vs_V_G_Row_Union_Of_India_State_on_31_March_1952,1952,http://indiankanoon.org/doc/554839/,https://drive.google.com/file/d/1P-mldcFG0U_bDBYbSGiefTwa3bPOP1jB/view
Sunderabai_W_O_Devrao_Deshpande_And_vs_Devaji_Shankar_Deshpande_on_3_October_1952,1952,http://indiankanoon.org/doc/1825635/,https://drive.google.com/file/d/1GJJ1f_SIHuJ2GuM4loo2TR3znqQvlYv1/view
Thakur_Gokalchand_vs_Parvin_Kumari_on_16_May_1952,1952,http://indiankanoon.org/doc/1388066/,https://drive.google.com/file/d/1vpPdGB5GoJMKYE2UNd6Di0eZhzdC3Id4/view
