rank,term,doc_freq,raw_freq,adj_freq,nonambiguous,informative,type,topic,role,notes,example
86,petitioner,32,234,198,1,informative,PARTY-ACTOR,,ACTOR,,"However, the complainant in her statement made under solemn affirmation has stated that when she came to Ranchi on the occasion of Holi, all the accused persons came and passed sarcastic remarks which in absence of actual wordings, accordin"
87,assessee,8,208,196,0,non-informative,,,,,"P.N. Bhagwati, V.D. Tulzapurkar COMMISSIONER OF INCOME TAX, PATIALA Vs. M/s. GROZ BACKERT SABOO LTD. DATE OF JUDGMENT22/11/1978 BHAGWATI, P.N. BHAGWATI, P.N. TULZAPURKAR, V.D. CITATION: 1979 (2) 371 1979 (1) 340 ACT: Taxable Profits Computa"
88,hand,60,213,195,0,non-informative,ASPECT,,,,His rushing towards the spot with revolver in his hand clearly indicates that he gone there to help the three other co-accused who had reached the spot before him on a tractor with weapons in their hands.
89,reservation,2,235,192,0,non-informative,,,,,"The line of reasoning of our learned Brother, Chinnappa Reddy, affords a satisfactory solution to this constitutional impasse, which we adopt without reservation of any kind."
90,february,28,189,189,0,non-informative,TEMPORAL,,,,"Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 2007 SCW 2979, 2007 (4) KAR R 246, , 2007 (2) HRR 193, (2007) 2 CURLJ(CCR) 127, 2007 HRR 2 193, (2007) 4 KANT LJ 463, (2007) 2 RECCIVR 313, (2007) 2 WLC(SC)"
91,october,35,182,182,0,non-informative,TEMPORAL,,,,"In October, 1961 ONGC first thought of the idea of using natural gas in addition to fuel oil in industries."
92,accordance,53,183,180,0,non-informative,ASPECT,,,,"The present case would undoubtedly fall for exercise of the power of the High Court in accordance with Section 482 of the 1973 Code, even assuming, that the invoking of the revisional power of the High Court is impermissible."
93,allotment,11,189,177,0,non-informative,,,,,The defendants contended that neither K.S. Setlur nor Shyamala Raju were in possession in 1946 and that documents of allotment were fictitious and never acted upon.
94,record,52,208,176,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,There is nothing on record to disbelieve the version of the prosecution witnesses that three accused as members of the first party armed with lethal weapons came on the tractor and challenged the deceased who was asserting his right on piec
95,writ petition,37,176,176,1,informative,PROCEDURE-RELIEF,CONSTITUTIONAL,PROCEDURAL,,"The Judgment of the Court was delivered by RANGANATHAN, J. These are eleven appeals preferred by the Oil and Natural Gas Commission (ONGC, for short) from a judgment and order, dated 30th July, 1983, of a Division Bench of the High Court of"
96,division bench,27,176,176,1,informative,FORUM-AUTHORITY,,ACTOR,,"The Judgment of the Court was delivered by RANGANATHAN, J. These are eleven appeals preferred by the Oil and Natural Gas Commission (ONGC, for short) from a judgment and order, dated 30th July, 1983, of a Division Bench of the High Court of"
97,issue,51,313,175,1,informative,LEGAL-CONCEPT,,ISSUE,,"The High Court should normally refrain from giving a prima facie decision in a case where all the facts are incomplete and hazy; more so, when the evidence has not been collected and produced before the court and the issues involved, whethe"
98,firm,11,371,175,1,informative,PARTY-ACTOR,,ACTOR,,In Dominion of India v. Firm Museram Kishunprasad(l) a a railway receipt was issued to the consignor qualified with the statement that the wagon was said to contain 255 bags of coconuts.
