rank,term,doc_freq,raw_freq,adj_freq,nonambiguous,informative,type,topic,role,notes,example
1146,dealer,3,20,17,0,non-informative,,,,,It brings those products inside the said area either for use or consumption by itself or for sale generally to its dealers and licensees who in their turn sell them to others.
1147,civil liberties,3,17,17,0,non-informative,,,,,"In State of Kerala & v. Peoples Union for Civil Liberties, Kerala State Unit & , , this Court held as under: ""102."
1148,chief minister,3,17,17,0,non-informative,,,,,"The circumstances under which the respondents had approached the Court chronologically commenced with an announcement made by the then Chief Minister of Punjab on 26th February State Of Punjab vs M/S Nestle India Ltd. & on 5 May, 2004 1996 "
1149,farman,2,20,17,0,non-informative,,,,,"In fact, in respect of Jagirs there was also a Farman of 1340 H that the manager should be allowed 4 annas in the rupee of the net income. 19."
1150,symbolic possession,2,17,17,1,informative,LEGAL-CONCEPT,POSSESSION,ISSUE,,"A reference Award made in this case on 4.8.2009 also particularly reveals that ""the property acquired under the project will not be covered by water, but after filling of water, it will be difficult for the villagers to reach upto that leve"
1151,wrongful loss,2,17,17,0,non-informative,ASPECT,,,,"It is thereafter the respondent filed a complaint on 8.12.1997 alleging offences under sections 406 and 420 read with Section 120B of the Indian Penal Code (IPC) inter alia stating ""that the accused persons in collusion and connivance of ea"
1152,bhagalpur,1,18,17,0,non-informative,,,,,"Relevant extract from the judgment in the Habeas Corpus petition is reproduced hereunder: Harendra Rai vs The State Of Bihar on 18 August, 2023 “On coming to learn, through some newspaper report about the fracas created in the Court of 7th "
1153,rampur,1,18,17,0,non-informative,,,,,The former State of Rampur was an independent State under the paramountcy of the British Crown before 1947.
1154,ibc,1,18,17,0,non-informative,,,,,"This appeal under Section 62 of the Insolvency and Bankruptcy Code, 20161 is directed against the judgment and order dated 14.05.2019 passed by the National Company Law Appellate Tribunal, New Delhi 2 in Company Appeal (AT) Insolvency No. 5"
1155,acknowledgment,1,18,17,0,non-informative,,,,,"On the other hand, the respondents would argue that the liability in relation to the debt in question having been consistently acknowledged by the corporate debtor in its balance sheets and annual reports, fresh period of limitation is avai"
1156,chunilal khushaldas patel,1,17,17,0,non-informative,,,,,"Chunilal Khushaldas Patel vs H.K. Adhyaru And on 14 February, 1956 JUDGMENT Bhagawati, J. 1."
1157,jamalpur,1,17,17,0,non-informative,,,,,"Gram Panchayat Of Village, Jamalpur vs Malwinder Singh & on 9 July, 1985 SUPREME COURT 1394, 1985 PUNJ LJ 463, , (1985) 2 CURCC 589 Author: Y.V. Chandrachud Bench:"
1158,valuation date,1,17,17,0,non-informative,TEMPORAL,,,,"[46 F-G] (iii) The primary method of determining the value of the assets for the purposes of the Act is the on indicated in section 7(1), which provides that value of any assets, other than cash, shall be estimated to be its market price on"
1159,wage structure,1,17,17,1,informative,PROPERTY-RES,,EVIDENCE,,"It then considered the wage structure, categorisation etc. for each of the said regions, in relation to a fair cross-section of the Industry in each of the regions."
1160,shankarlal poddar,1,17,17,0,non-informative,,,,,Shankarlal Aggarwal And vs Shankarlal Poddar
1161,fix deposit receipt,1,17,17,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"While the suit was pending, a legal notice was given on 28th November, 1992, to the respondent Bank by the appellant and Mam Chand through their advocate, asking for premature encashment of the fixed deposit receipt."
1162,high court judges,1,17,17,1,informative,FORUM-AUTHORITY,,ACTOR,,"For exam (2) It would be a surprising anomaly that the transfer of subordinate judges, as decided (3) The requirement of Article 222(1) that the President must consult the Chief Justice (4) Assuming that the President's power to transfer a "
1163,sikkim,1,17,17,0,non-informative,,,,,"(1) , this Court considered the question whether the non−obstante clause (f) to Article 371F inserted by the Constitution (36 th Amendment) Act, 1975 containing a special provision for the State of Sikkim."
1164,asset reconstruction company,1,17,17,1,informative,PARTY-ACTOR,,ACTOR,,"We have heard Shri Gopal Sankarnarayanan, learned senior counsel appearing for one set of parties who are the appellants herein (and who claim to be the assignees of the decree), Shri B. Adinarayana Rao, Shri Chander Uday Singh, Shri Ranjit"
1165,receiver cum commissioner,1,17,17,1,informative,FORUM-AUTHORITY,,ACTOR,,"iii) to pass a final decree in favour of defendants Nos. 1, 51, 52 and 42 to the extent of properties given to their exclusive shares as mentioned in paras 4, 7, 9 and; IV) to appoint Shri Hafeez Ahmed Khan Retired Sessions Judge, Advocate,"
1166,nuclear power plant,1,17,17,1,informative,LEGAL-CONCEPT,,ISSUE,,"We are in these appeals concerned with an issue of considerable national and international importance, pertaining to the setting up of a nuclear power plant in the South-Eastern tip of India, at Kudankulam in the State of Tamil Nadu."
1167,iaea,1,17,17,0,non-informative,,,,,"International Atomic Energy Agency (IAEA) has reported that in the year 2007, there were 439 Nuclear Power Reactors in operation in the world operating in thirty one countries."
1168,marine life,1,17,17,0,non-informative,ASPECT,,,,"Lot of scientific literatures, experts opinions etc. have been produced before us to show its dangers, harm it may cause to human health, environment, marine life and so on not only on the present generation but on future generation as well"
1169,b.k. educational services,1,17,17,1,informative,PARTY-ACTOR,,ACTOR,,"The learned senior counsel has elaborated on the submissions with reference to the decision of this Court in the case of B.K. Educational Services and has contended that therein, it is categorically held that Article 137 of the Limitation A"
1170,sq.m,1,17,17,0,non-informative,,,,,An extent of 13 Hectares 78 Are and 97 sq.m.
1171,non,24,57,16,0,non-informative,CITATION-REF,,,,"The decision as to what economy in cost has to be passed on to the consumer on the one hand or should benefit the taxpayer on the other and the likelihood of non-availabilities and, therefore, of scarcities in the near future has also to be"
1172,outset,14,17,16,0,non-informative,,,,,""" Shri B. Sen, who appeared for the ONGC, made R clear at the outset that he was not disputing the propositions (a) that the ONGC is 'State' within the meaning of Article 12 of the Constitution; and (b) that it has a duty to act reasonably "
1173,week,14,16,16,0,non-informative,TEMPORAL,,,,"After staying there for a week, she returned to Mumbai on 24.03.2007. 4."
1174,problem,13,33,16,0,non-informative,,,,,But we do not think that that view solves the problem.
1175,distance,13,27,16,0,non-informative,,,,,The eyewitness further states that he saw accused No. 1 Harjit Singh firing from his revolver at deceased from a distance of 4-5 Karmas.
1176,idea,13,25,16,0,non-informative,,,,,"In October, 1961 ONGC first thought of the idea of using natural gas in addition to fuel oil in industries."
1177,today,13,17,16,0,non-informative,TEMPORAL,,,,"The result is that, ever since January 1983 and till today, most of the petitioners have been paying for the gas supplied only at the rate of Rs. 1,000 per unit and some of the industries have defaulted even in doing this."
1178,follow observation,13,16,16,0,non-informative,ASPECT,,,,"Lord Moulton after tracing the growth of the law of arbitration made the following observations in his speech: ""But, My Lords, it must be remembered that these arbitration clauses must be taken to have been inserted with due regard to the e"
1179,resident,12,25,16,0,non-informative,,,,,"According to the appellants, they are not the residents of Ranchi and if they are compelled to attend the Ranchi Court repeatedly then that would lead to insurmountable harassment and inconvenience to the appellants as well as to the compla"
1180,essence,12,16,16,0,non-informative,,,,,"Thus, it is to be seen that both the parties understood that 30th June, 1981 was of the essence of the Contract."
1181,age,11,25,16,0,non-informative,,,,,"In the case on hand, we have already extracted criminality, criminal activities starting from the age of 30 and details relating to eleven cases mentioned in the grounds of detention."
1182,fault,11,18,16,0,non-informative,,,,,"vs M/S Sunder Brothers Of Delhi on 20 April, 1966 Court of appeal, that the fact that the engineer, without any fault of his own, must necessarily be placed in the position of a Judge and a witness is a sufficient reason why the matter shou"
1183,mere fact,11,16,16,0,non-informative,ASPECT,,,,The mere fact that a corporation declares itself to be a public utility does not make it such.
1184,lot,10,17,16,0,non-informative,,,,,"Chunilal, who was the senior partner in the Managing Agents firm of the Himabhai Company, is alleged not to have sanctioned the transfer and Adhyaru took umbrage at it and resolved to buy up the whole lot of 1936 shares of the Himabhai Comp"
1185,entirety,10,16,16,0,non-informative,,,,,"In R.P. Kapur v. State of Punjab , this court summarized some categories of cases where inherent power can and should be exercised to quash the proceedings: Preeti Gupta & vs State Of Jharkhand & on 13 August, 2010 (i) where it manifestly a"
1186,plan,9,23,16,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"The High Court held that apart from the plan, Ex."
1187,preference,9,20,16,0,non-informative,,,,,"Dr. Rao made the ""cost plus"" method the basis of his award in preference to the basis of thermal equivalence of alternate fuel (thermal equivalence basis)."
1188,cash,9,19,16,0,non-informative,,,,,"Rs. 3,00,000/- were to be paid in cash and the balance in 1936 shares of the Himabhai Company which were taken to be of the value of Rs."
1189,relevant factor,9,16,16,0,non-informative,ASPECT,,,,"They may invoke the arbitration of some eminent economist in consultation with the petitioners; or (iii) They may themselves decide the price, after bringing to their consideration all relevant factors and for that purpose they may hear ful"
1190,weight,8,24,16,0,non-informative,,,,,"Reddy HARI SAO AND Vs. STATE OF BIHAR 15/10/1969 MITTER, G.K. MITTER, G.K. SIKRI, S.M. REDDY, P. JAGANMOHAN CITATION: 1970 (2) 823 1969 (3) 107 ACT: Indian Railways Act (9 of 1890), ss. 73 and 74 and Goods Tariff General Rules, rr. 15 and 2"
1191,food,8,22,16,0,non-informative,,,,,There would be no presumption that the (Foods put in the wagon were chillies because the railway did not accept the consignment as such and described it as 251 bags allegedly containing chillies.
1192,mysore,8,19,16,0,non-informative,,,,,"In this appeal by certificate ,under Article 133 (1) (b) of the Constitution granted by the High Court of Mysore against its judgment and order dated May 31, 1960, the Burmah Shell Oil Storage & Distributing Company of India Ltd. is the app"
1193,contravention,8,18,16,0,non-informative,,,,,"Under Section 8-C that competent authority, if satisfied after holding such inquiry as it deems fit, that an allottee of requisitioned land or premises has not paid the due monthly compensation or has Sublet the whole or any part thereof wi"
1194,human right,8,16,16,1,informative,LEGAL-CONCEPT,,ISSUE,,This Court has consistently held that Article 300-A is not only a constitutional right but also a human right.
1195,chargesheet,7,17,16,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"After completion of investigation the police submitted a chargesheet against all the 24 accused in the Court of Judicial Magistrate, Kanchipuram on 21.1.2005, which was registered as Preliminary Registered Case (PRC) No. 2 of 2005 and commi"
1196,repeal,7,16,16,0,non-informative,,,,,"We need only note that the said Act repealed the provisions of the Bombay Land Requisition Ordinance, 1947 and sub-section (2) of Section 20 stated that, notwithstanding the repeal of the Ordinance, any land requisitioned or continued to be"
1197,natural justice,7,16,16,1,informative,LEGAL-CONCEPT,,ISSUE,,"Even the application filed under Sections 30 and 33 of the Arbitration Act in the High Court the objections to the award as enumerated in paragraph 15 mainly concerned (i) the conduct of the arbitrators who, it is alleged, acted negligently"
1198,transferee,6,17,16,1,informative,PARTY-ACTOR,,ACTOR,,"A transfer of shares, after dividend declared, does not, as against the Company, carry the dividend, even where the transferee has expressly bought cum div., but, as between a buyer and seller of shares, the buyer is entitled to all dividen"
1199,tender,5,32,16,0,non-informative,,,,,"His contention is that the plaintiff could not claim any interest so long has he was in possession of the house and he could not also claim any interest after that, as his clients made a tender of the sum of Rs. 30,000 by sending a hundi fo"
1200,generality,5,16,16,0,non-informative,,,,,"(2) In particular and without prejudice to the generality of the foregoing provision, the Commission may take such steps as it thinks fit-- Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 (a) fo"
1201,legal right,5,16,16,1,informative,LEGAL-CONCEPT,,ISSUE,,"As its name indicates, the term ""public utility"" implies a public use and service to the public, and indeed, the principal determinative characteristic of a public utility is that of service to, or readiness to serve, an indefinite public ("
1202,litigant,4,20,16,0,non-informative,,,,,"But one thing the legislature is not competent to do, and that is to make litigants contribute to the increase of general public revenue."
1203,entitlement,4,18,16,0,non-informative,,,,,"This Court, while interpreting the other schemes in respect of Narmada Projects itself has given effect to the said policy and directed for allotment of land for land acquired and upheld the entitlement of the major son of an oustee to an i"
1204,transportation,4,17,16,0,non-informative,,,,,"Definition and nature A ""public utility"" is a business or service which is engaged in regularly supplying the public with some commodiOil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 ty or servic"
1205,confirmation,4,16,16,0,non-informative,,,,,Confirmation detaining the detenu for a period of 12 months was issued on 16.11.2010.
1206,bid,3,35,16,0,non-informative,,,,,"The amount of Rs. 11,61,600/- deposited by Pasavala in support of the offer was ordered to continue in deposit with the Liquidators until the public auction was held and the bid made at the public auction was sanctioned by the District Judg"
1207,public law,3,16,16,1,informative,PARTY-ACTOR,,ACTOR,,The Court would then be constrained to hold that the present system of supply was inconsistent with public law and the constitutional requirements of a public utility undertaking.
1208,party defendant,3,16,16,1,informative,PARTY-ACTOR,,ACTOR,,of Iyengar were not made party-defendants.
1209,hindu law,3,16,16,1,informative,LEGAL-CONCEPT,,ISSUE,,"Under the Hindu law, the bar of inheritance would not apply to a mother, as it would to a widow."
1210,demise premise,3,16,16,1,informative,PROPERTY-RES,,EVIDENCE,,While this suit was pending the tenant sub-let a part of the demised premises to the appellant.
1211,wildlife,2,24,16,0,non-informative,,,,,"The Ministry of Environment, Forest and Climate Change thereafter issued a Notification dated 05.09.2023 under Section 3(3) of the Environment (Protection) Act, 1986, constituting the CEC as a permanent body for “the purposes of monitoring "
1212,subletting,2,20,16,0,non-informative,,,,,A statutory tenant cannot sublet the premises because subletting involves a transfer of the right to enjoy property for a certain period in consideration of price paid or promised and a statutory tenant has merely a personal right to resist
1213,ailment,2,18,16,0,non-informative,,,,,". Co. Ltd vs Ram Tahel Ramnand & on 14 April, 1972 the article for which the plant of the particular industry was installed and not merely in utilising the power to move the machine to action, the field of activities of the undertaking is r"
1214,constituency,2,18,16,0,non-informative,,,,,"And on 19 September, 1977 constituency, i.e., the nation, that transfer is an exception but not totally banned and that a vicious or wayward judge cannot expect better justice or an independent judge of probity better immunity than is provi"
1215,pakistan,2,17,16,0,non-informative,,,,,"After the partition as a result of the unprecedented movement of population, most of the Muslims proprietors migrated to Pakistan whereas the non-Muslims continued to live in their villages."
1216,pil,2,17,16,0,non-informative,,,,,"S/Shri Ravi Shankar Prasad and P.S. Patwalia, learned senior counsel appearing for the appellants have submitted that the High Court ought not to have entertained the writ petition as it did not have material facts/particulars disclosing an"
1217,occupier,2,16,16,0,non-informative,,,,,So far as the owner of the land is concerned the position is that subject to the right of public to pass and repass on the highway the owner of the soil in general remains the occupier of it and as such may maintain action for trespass agai
1218,corporation bank,2,16,16,1,informative,FORUM-AUTHORITY,,ACTOR,,"(Vide: Corporation Bank v. Saraswati Abharansala & ; and Sonic Surgical v. National Insurance Co. Ltd., )."
1219,impugn g.o.,2,16,16,1,informative,PARTY-ACTOR,,ACTOR,,"The impugned G.O. reserved all the posts in the Scheduled Area; thus, aspiring candidates in a district/zone in the Scheduled Areas cannot apply for the post of teachers in the district or zone as all the posts have been reserved for local "
1220,new india assurance co. ltd.,2,16,16,0,non-informative,CITATION-REF,,,,"Ashok Kumar vs New India Assurance Co. Ltd. on 31 July, 2023"
1221,lakshmanan,1,41,16,0,non-informative,,,,,Lakshmanan.
1222,octrois,1,17,16,0,non-informative,,,,,"While terminal taxes are leviable on goods ""imported or exported"" from municipal limits denoting thereby that they are Burmah Shell Oil Storage &Distributing ... vs The Belgaum Borough Municipality on 16 November, 1962 connected with the tr"
1223,varinderjit singh,1,16,16,0,non-informative,,,,,"The three accused namely, Harjeet Singh, Varinderjit Singh and Gursharan Singh have been convicted under Sections 302, 307, 326, 324 and 323 read with Section 34 IPC and the sentences imposed on them by the trial court have been maintained."
1224,o.n.g.c.,1,16,16,0,non-informative,CITATION-REF,,,,""" Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 The statute, it may be observed, neither imposes a specific duty on the O.N.G.C. to supply its products to consumers at large nor contains any p"
1225,terminal taxis,1,16,16,0,non-informative,,,,,"While terminal taxes are leviable on goods ""imported or exported"" from municipal limits denoting thereby that they are Burmah Shell Oil Storage &Distributing ... vs The Belgaum Borough Municipality on 16 November, 1962 connected with the tr"
1226,book value,1,16,16,1,informative,MONETARY-VALUATION,,EVIDENCE,,"For the purpose of evaluating the interest of the family's interest in the firm, the assessee adopted the book value of buildings owned by the firm."
1227,karua,1,16,16,0,non-informative,,,,,"Allowing the appeal, the Court HELD: Kasturi claimed inheritance not as a widow of her husband Madhua but as the mother of Karua."
1228,omkareshwar dam,1,16,16,0,non-informative,,,,,All these appeals relate to the establishment of the Omkareshwar Dam on the Narmada river in Madhya Pradesh.
1229,displace family,1,16,16,1,informative,PARTY-ACTOR,,ACTOR,,"The High Court after considering the submissions and examining the documents on record, so far as the issue of land in lieu of land acquired is concerned, came to the following conclusions: (i) An area of 2508.14 hectares of agricultural la"
1230,fix deposit,1,16,16,1,informative,MONETARY-VALUATION,,EVIDENCE,,"This appeal raises the issue whether a fixed deposit jointly owned with an ""either or survivor"" clause can be pledged by one of the account holders with the Bank and whether the Bank can adjust the Anumati vs Punjab National Bank on 25 Octo"
1231,sir land,1,16,16,1,informative,PROPERTY-RES,,EVIDENCE,,"On appeal by special leave, the appellant's main contention was that the cultivating rights in the sir lands could not be the subject matter of sale in execution of the decree in view of s. 43 of the Abolition Act."
1232,judicial independence,1,16,16,0,non-informative,,,,,"In England too, from where we have inherited our present system of administration of justice in its broad and essential features, judicial independence is prized as a basic value and so natural and inevitable it has come to be regarded and "
1233,section 16(3,1,16,16,0,non-informative,CITATION-REF,,,,Sub-tenant Roy Choudhury served a notice under Section 16(2) of the 1956 Act upon the superior landlord and applied under Section 16(3) for being declared a tenant directly under him.
1234,people 's union,1,16,16,1,informative,FORUM-AUTHORITY,,ACTOR,,"Association for Democratic Reforms,[1] People's Union for Civil Liberties (PUCL) & Another V. Union of India and Another[2], Notification issued by the Election Commission of India and the Notification of the State Election Commission, Sect"
1235,public relations officers,1,16,16,1,informative,FORUM-AUTHORITY,,ACTOR,,"The designation Liaison Officer was later changed to Public Relations Officer, and along with other posts of Listener Research Officer and Assistant Station Director, the posts of Public Relations Officers were upgraded to Rs."
1236,entry,20,84,15,1,informative,STATUTE-PROVISION,,RULE,,An entry was made in the station diary and a first information report was lodged on 18th May.
1237,type,16,26,15,0,non-informative,ASPECT,,,,"There is no doubt that the expansion of the oil sector in recent years, including the recent construction of the HBJ pipeline, will eventually require the ONGC to set up and devise a rational and equitable scheme of distribution and supply "
1238,mode,15,29,15,0,non-informative,,,,,"We reiterate that as far as the petitioners are concerned, they are amenable to any of the three modes which the ONGC may choose to adopt."
1239,care,13,40,15,0,non-informative,,,,,The three arbitrators chosen by them were men of their confidence and they after giving the partners full and complete opportunity took care to first circulate a proposed award to ascertain the reaction of the disputants therein.
1240,judicature,13,16,15,0,non-informative,,,,,"Appeal from a judgment and decree of the High Court of Judicature at Patna dated 29th August, 1947, in First Appeal No. 13 of 1945, modifying a decree of the Subordinate Court of Gaya in O.S. No. 59 of 1943: Civil Appeal No. 82 of S.P. Sinh"
1241,refusal,12,19,15,0,non-informative,,,,,"The Division Bench, however, observed that it appeared ""that the grounds raised against the proper conduct of the Enquiry and refusal of some of the prayers of the appellant made during its pendency were not pressed before the Trial Judge""."
1242,general rule,12,15,15,1,informative,STATUTE-PROVISION,,RULE,,"It was said ""As a general rule, only proprietors of the village (malikan-deh) as distinguished from proprietors of their own holdings (malikan makbuza khud) are entitled to share in the Shamlatdeh""."
1243,rajasthan,11,17,15,0,non-informative,,,,,"The Narmada Water Disputes Tribunal apportioned the water in the Narmada between Madhya Pradesh, Gujarat, Maharashtra and Rajasthan, subject to review after 45 years."
1244,confidence,11,16,15,0,non-informative,,,,,"In the absence of independent witnesses and the alleged place of concealment being accessible to public, the evidence of disclosure statement and the consequent recovery of arms and weapons do not at all inspire confidence."
1245,residence,10,19,15,0,non-informative,,,,,"Matubhai and Ratilal Nathalal, therefore, went to Trikamlal's place of residence at 7-30 p.m. the same evening and handed over the two letters and the cheque to Trikamlal."
1246,excess,9,19,15,0,non-informative,,,,,So far as the owner of the land is concerned the position is that subject to the right of public to pass and repass on the highway the owner of the soil in general remains the occupier of it and as such may maintain action for trespass agai
1247,extension,9,17,15,0,non-informative,,,,,"A provision in an ordinance granting a franchise to an electric light company, that the city should not require the company to make ""extensions"" except upon certain conditions does not affect the right of a resident in an established servic"
1248,corporation,8,58,15,1,informative,FORUM-AUTHORITY,,ACTOR,,The mere fact that a corporation declares itself to be a public utility does not make it such.
1249,deposition,8,17,15,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,It quotes depositions of witnesses as findings.
1250,licence,8,16,15,0,non-informative,,,,,"It is argued that in English common law, the expression has a specific connotation; it refers to an entity dealing in a commodity which is commonly used by the members of the public and under a duty, in terms of a statute, licence or franch"
1251,information report,8,15,15,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,It has been admitted on behalf of the accused that they had not filed any counter complaint for First Information Report against the members of the deceased party.
1252,orissa,8,15,15,0,non-informative,,,,,"(Vide: A. Hamsaveni & v. State of Tamil Nadu & , ; Ashok Kumar Pandey v. State of West Bengal, ; Prabir Kumar Das v. State of Orissa & , ; and A. Abdul Farook v. Municipal Council, Perambalur, ). 12."
1253,condition precedent,8,15,15,0,non-informative,ASPECT,,,,"Therefore, a valid order of detention under COFEPOSA is a condition precedent to proceedings being taken under Sections 6 and 7 of SAFEMA."
1254,percentage,7,23,15,0,non-informative,ASPECT,,,,Then he raised some objection as to the percentage of his share and the amount found due to him.
1255,user,7,19,15,0,non-informative,,,,,Such large scale utilisation will involve capital outlay to a considerable extent particularly for the laying of pipe lines to convey the gas to sites of its user.
1256,manufacture,7,17,15,0,non-informative,,,,,"[200C] (11) The manufacture, distribution and consumption of gas has yet not attained the status of an essential commodity till recently."
1257,attorney general,7,15,15,0,non-informative,,,,,"K. Parasaran, Attorney General, B. Sen, A.K. Ganguli, Dr. Y.S. Chitley, T.S. Krishnamurthy Iyer, N. Nettar, G.S. Narayana, p. Parameshwaran, T.V.S.N. Chaff and N.N. Sharma for the Appellants."
1258,additional district judge,7,15,15,1,informative,FORUM-AUTHORITY,,ACTOR,,The present appeal is filed against the judgment and order passed by the High Court of Madhya Pradesh at Jabalpur in Second Appeal No. 396 of 1998 by which the High Court confirmed the judgment and order passed by the Court of First Additio
1259,animal,6,26,15,0,non-informative,,,,,Section 73 provides for the general responsibility of a railway administration as a carrier of animals and goods except from any of the causes specified therein.
1260,religion,6,16,15,0,non-informative,,,,,"The dominant intention of the settler in creating the trust was to help public charity in the best sense of the words, 'public charity' not confined to any caste, religion or creed."
1261,count,6,15,15,0,non-informative,,,,,It was also stated that the defendant had denied title of the landlord and was liable to be evicted on that count as well.
1262,guilt,6,15,15,0,non-informative,,,,,"It would, therefore, be clear that trial means act of proving or judicial examination or determination of the issues including its own jurisdiction or authority in accordance with law or adjudging guilt or innocence of the accused including"
1263,remand,6,15,15,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"After the remand, the Civil Judge held that the transaction was not a mortgage and the appellants had acquired title to the lands by adverse possession."
1264,appellant herein,6,15,15,1,informative,PARTY-ACTOR,,ACTOR,,"By order dated 1-8-2014, the Appellate Tribunal dismissed the crossobjections of the appellant herein as not maintainable."
1265,design,5,34,15,0,non-informative,,,,,"Flow of water over the dam top may occur due to: (a) Increase in water level in the reservoir higher than the top level of the dam due to an inflow volume greater than the project design flood, due to underestimation of the same at the time"
1266,mohd,5,19,15,0,non-informative,,,,,This court in Zandu Pharmaceutical Works Ltd. & Others v. Mohd.
1267,criminal trial,5,15,15,1,informative,PROCEDURE-RELIEF,CRIMINAL,PROCEDURAL,,"At times, even after the conclusion of criminal trial, it is difficult to ascertain the real truth."
1268,attachment,5,15,15,0,non-informative,,,,,"On appeal to the Privy Council, it was held that in a judicial sale only the property attached can be sold and that property is conclusively described in and by the schedule to which the attachment refers, namely, the six annas share subjec"
1269,percent,5,15,15,0,non-informative,,,,,"[48 H; 49 A] (vi) Sub-rule (2) of Rule 2B clearly provides that where the market value of an asset exceeds its written down value or book value by more than 20 percent, the value of that asset for the purposes of Rule 2A shall be taken to b"
1270,patta,4,18,15,1,informative,INSTRUMENT-EVIDENCE,REVENUE-TENURE,EVIDENCE,,Presently the practice is that the land which remains submerged under water temporarily is generally given on pattas to farmers as it is fit for agricultural purpose.
1271,displace person,4,15,15,1,informative,PARTY-ACTOR,,ACTOR,,"In 1950, the appellant allotted small pre-fabricated stalls to several displaced persons including the respondent, at the licence fee of rupee thirty payable per month."
1272,suit premise,4,15,15,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"The appellant-defendant challenged the decres by an appeal to the District Court and while the appeal was pending the State by a Notification dated 26th March, 1980 applied Part II of the Bombay Rents, Hotel and Lodging House Rates Control "
1273,workman,4,15,15,0,non-informative,,,,,"Mills an employee engaged in any work or operation which is incidentally connected with main industry is a workman if other requirements of s. 2(s) of the Industrial Disputes Act 14 of 1947, are satisfied."
1274,permit,3,27,15,0,non-informative,,,,,"The Society had been granted, for this purpose, permits by the Uttar Pradesh Government and Delhi Administration for seven vehicles."
1275,investigating officer,3,15,15,1,informative,FORUM-AUTHORITY,,ACTOR,,"In his cross-examination, the Investigating Officer, Puran Singh (PW-9) admits that he had come to know that in the same incident, accused Harjit Singh (A-1) had suffered serious injuries and co-accused Varinderjit Singh and Gursharan Singh"
1276,entry no,3,15,15,1,informative,STATUTE-PROVISION,,RULE,,"Y.V. Chandrachud, Syed Murtaza Fazalali, V.D. Tulzapurkar, O. Chinnappa Reddy, A. Varadarajan GRAM PANCHAYAT OF VILLAGE, JAMALPUR Vs. MALWINDER SINGH & DATE OF JUDGMENT09/07/1985 CHANDRACHUD, Y.V. ((CJ) CHANDRACHUD, Y.V. ((CJ) FAZALALI, SYE"
1277,legislative power,3,15,15,1,informative,LEGAL-CONCEPT,,ISSUE,,"When a levy is impugned as a colorable exercise of legislative power, the State being charged with raising a tax under the guise of levying a fee, Courts have to scrutinize the scheme of the levy carefully, and determine whether, in fact, t"
1278,state authority,3,15,15,1,informative,FORUM-AUTHORITY,,ACTOR,,The State authorities obtained environmental clearance for the Omkareshwar project from the Ministry of Environment and Forest on 13.10.1993.
1279,actual physical possession,3,15,15,1,informative,LEGAL-CONCEPT,POSSESSION,ISSUE,,"The land stood vested in the State; the land in dispute would stand submerged actually and, therefore, withdrawal of the acquisition proceedings was not permissible, though the land acquisition proceedings had not been completed and the act"
1280,drawer,3,15,15,0,non-informative,,,,,"Thus evidence is in consonance with, the normal banking practice of discounting hundis, only when they are supported by railway receipts, of, consingnments despatched by the drawer to, outside parties."
1281,forests,3,15,15,0,non-informative,,,,,This Court also directed each state government to constitute a committee with the Principal Chief Conservator of Forests and another Senior Official to oversee the compliance of its orders and the filing of status reports by the states.
1282,ruler,3,15,15,0,non-informative,,,,,"This was followed by a merger agreement between the Ruler of the Rampur State and the Dominion of India on May 15, 1949, by which the Ruler agreed to transfer the entire administration of the State to the Dominion as from July 1, 1949."
1283,possessory title,2,15,15,1,informative,LEGAL-CONCEPT,TITLE-OWNERSHIP,ISSUE,,"Later on in appeal, the question framed was whether K.S. Setlur had proved his possessory title to the suit lands."
1284,bombay rents,2,15,15,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"DATE OF JUDGMENT28/02/1985 TULZAPURKAR, V.D. TULZAPURKAR, V.D. KHALID, V. (J) CITATION: 1985 (2)1051 1985 (2) 279 1985 (1)360 ACT: Bombay Rents, hotel and Lodging House Rates Control Act, 1947, Section 50 Suit for possession under Transfer "
1285,judicial order,2,15,15,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"This may be seen from the judicial orders of Reference Courts Devas; the land record of the revenue authorities of the State Government, the order of the Land Acquisition Officer and the affidavits of the concerned oustees which were placed"
1286,proposal form,2,15,15,0,non-informative,ASPECT,,,,"He was examined by Dr. D who submitted two reports, one with the proposal form and one confidential."
1287,atomic energy act,2,15,15,1,informative,STATUTE-PROVISION,,RULE,,"60 Constituted under the Atomic Energy Act, 1962."
