rank,entity,count,doc_freq,ent_type,std_name,role,topic,nonambiguous,informative,notes,example
50,punjab,64,20,GPE,Punjab,EVIDENCE,,1,informative,,"And vs State Of Punjab on 16 August, 2002 Criminal Appeal No. 814 of 2001 State of Punjab v. Harjit Singh."
51,state of m.p. &,63,2,ORG,State Of M.P. &,ACTOR,,1,informative,,"Narmada Bachao Andolan vs State Of M.P. & on 11 May, SC (CIVIL) 1523, , , 2011 (3) SN 139 (SC) Author: B. S. Chauhan Bench:"
52,k.s. setlur,63,1,PERSON,K.S. Setlur,ACTOR,,1,informative,,"The suit was instituted by Iyengar Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 against K.S. Setlur and Shyamala Raju stating that they had unauthorisedly disturbed his possession."
53,english,62,22,LANGUAGE,English,,,1,informative,,The English courts have also used inherent power to achieve the same objective.
54,kanpur,62,8,GPE,Kanpur,EVIDENCE,,1,informative,,The Complainant Manisha was married to Kamal Poddar at Kanpur on 10.12.2006.
55,adhyaru,62,1,PERSON,Adhyaru,ACTOR,,1,informative,,"They tried to induce Harshad kumar K. Adhyaru, hereinafter referred to as Adhyaru, to purchase these 1936 shares."
56,gujarat,61,16,GPE,Gujarat,EVIDENCE,,1,informative,,"This appeal has been filed by Preeti Gupta the married sister-in-law and a permanent resident of Navasari, Surat, Gujarat with her husband and Gaurav Poddar, a permanent resident of Goregaon, Maharashtra, who is the unmarried brother-in-law"
57,bank,61,10,ORG,Bank,ACTOR,,1,informative,,"He, however, stated that, without prejudice to the rights of the Liquidators and subject to the approval by Dave and subject to the sanction of the District Judge, he was sending the cheque for Rs. 9,68,000/- drawn by Chunilal in favour of "
58,p.c,61,8,GPE,P.C,EVIDENCE,,1,informative,,The defence of accused Harjit Singh A1 as contained in his statement recorded under Section 313 Cr.P.C. is as under: He accepts his presence on the date and time of the incident.
59,narmada bachao andolan,60,2,PERSON,Narmada Bachao Andolan,ACTOR,,1,informative,,"Narmada Bachao Andolan vs State Of M.P. & on 11 May, SC (CIVIL) 1523, , , 2011 (3) SN 139 (SC) Author: B. S. Chauhan Bench:"
60,nizam,59,2,PERSON,Nizam,ACTOR,,1,informative,,"The appellants were appointed trustees by the Nizam of Hyderabad by a trust deed executed on Tune 14, 1951."
61,sankalchand himatlal,58,1,PERSON,Sankalchand Himatlal,ACTOR,,1,informative,,Union Of India (Uoi) vs Sankalchand Himatlal Sheth
62,delhi,57,11,GPE,Delhi,EVIDENCE,,1,informative,,"Appeal by special leave from the judgment and order dated February 22, 1962 of the Punjab High Court (Circuit Bench) at Delhi in Civil Revision No. 311-D of 1958."
63,chandigarh,57,7,GPE,Chandigarh,EVIDENCE,,1,informative,,"Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622#4051#P. VENKATARAMA REDDI#Dr."
64,fir,56,7,ORG,Fir,ACTOR,CRIMINAL,1,informative,,"(2) Where the allegations in the first information report and other materials, if any, accompanying the FIR do not disclose a cognizable offence, justifying an investigation by police officers under Section 156(1) of the Code except under a"
65,appellate tribunal,56,5,ORG,Appellate Tribunal,ACTOR,,1,informative,,"At the hearing of the appeal before the Income-tax Appellate Tribunal, Anusuya Devi-widow of Amritlal-filed an affidavit in which it was stated, inter alia 5."
66,hiralal,56,1,PERSON,Hiralal,ACTOR,,1,informative,,In the said deed it was expressly mentioned that Hiralal was the absolute owner of the property and he had full rights to sell the house.
67,new delhi,55,34,GPE,New Delhi,EVIDENCE,,1,informative,,"J. (K.S. Radhakrishnan) New Delhi; August 13, 2010 Preeti Gupta & vs State Of Jharkhand & on 13 August, 2010"
