rank,entity,count,doc_freq,ent_type,std_name,role,topic,nonambiguous,informative,notes,example
1789,goswami,3,1,ORG,Goswami,ACTOR,,1,informative,,"P.K. Goswami, Y.V. Chandrachud, A.C. Gupta SRIRAM PASRICHA Vs. JAGANNATH & DATE OF JUDGMENT24/08/1976 GOSWAMI, P.K. GOSWAMI, P.K. CHANDRACHUD, Y.V. GUPTA, A.C. CITATION: 1977 (1) 395 1976 (4) 184 R 1977 SC1599 (7) R 1978 SC 835 (2) F 1982 S"
1790,mclntyre,3,1,GPE,Mclntyre,EVIDENCE,,1,informative,,Counsel relied upon Mclntyre and another v. Hardcastle(1).
1791,bombay agricultural debtors,3,1,ORG,Bombay Agricultural Debtors,ACTOR,,1,informative,,"He appealed and, pending the appeal, the 1939 Art was repealed by the Bombay Agricultural Debtors Relief Act of 1947."
1792,kaira,3,1,PERSON,Kaira,ACTOR,,1,informative,,"This appeal by special, leave is directed against the order of the Gujarat High Court in Civil Revision Application No. 158 of 1960 confirming that of the District Judge, Kaira, holding that the 1st respondent herein was a debtor and direct"
1793,shirinbai maneckshaw,3,1,PERSON,Shirinbai Maneckshaw,ACTOR,,1,informative,,"I hereby give, devise and bequeath to my so called mother named Mrs. Shirinbai Maneckshaw Bejonji Mistri, wife of Maneckshaw Bejonji Mistri alias Photographer residing 20 Canning Road, Allahabad, her heirs, executors and administrators, for"
1794,m. b. mistry,3,1,PERSON,M. B. Mistry,ACTOR,,1,informative,,"There were two attesting witnesses to the will, namely, B. Hirji and M. B. Mistry who was the husband of Mrs. Shirinbai (Defendant No. 1)."
1795,section 129,3,1,LAW,Section 129,RULE,,1,informative,,"The two Mrs. Shirinbai Maneckshaw & Others vs Nargacebai J. Motishaw & Others on 9 May, 1956 bequests, it is said, were mutually exclusive and independent of each other and even if the bequest to Shirinbai failed under section 67 of the Ind"
1796,sheru bhushehari,3,1,PERSON,Sheru Bhushehari,ACTOR,,1,informative,,Sheru Bhushehari.
1797,barsu ballah,3,1,PERSON,Barsu Ballah,ACTOR,,1,informative,,"Sheru @ Bhushehari, both since deceased) and modified the judgment of the trial court to the extent that the gift deed made in respect of the land measuring 21-15-17 bighas comprising Khata Khatani No. 3/16-27 and Rauda Kheratar Khata Khata"
1798,andaman islands,3,1,LOC,Andaman Islands,EVIDENCE,,1,informative,,"He also stated that fearing ""harassment and oppression"" by the Police he went away to the Andaman Islands in November, 1952."
1799,management,3,1,ORG,Management,ACTOR,,1,informative,,We will first take up the appeal of the Management.
1800,jute wage board,3,1,ORG,Jute Wage Board,ACTOR,,1,informative,,"In comparison with this Management Of The Kirlampudi Sugar ... vs Industrial Tribunal, A.P. & on 26 August, 1971 method, the Jute Wage Board had taken India as a whole and fixed a uniform rate for the Jute industry."
1801,sugar,3,1,ORG,Sugar,ACTOR,,1,informative,,Further it appeared to the Board that the Sugar industry was a highly regulated industry where the minimum cane price is fixed by the State and higher price depending upon the quality of the cane is to be paid according to the price linking
1802,m.p. sugar mills,3,1,ORG,M.P. Sugar Mills,ACTOR,,1,informative,,The remaining decisions are illustrative of various aspects of the framework set up by the Court in the decision in M.P. Sugar Mills.
1803,section 66(2,3,1,LAW,Section 66(2,,,0,non-informative,,"Those were References Under Section 66(2) of the Indian Income-tax Act, 1922 (which for the sake of brevity will hereinafter be referred to as 'the Act')."
1804,two lakhs of rupees,3,1,MONEY,Two Lakhs Of Rupees,EVIDENCE,,1,informative,,The only further fact he appears to have informed the Income-tax Officer was that two lakhs of rupees were all along lying in the hands of his father-in-1aw.
1805,durga prasad more,3,1,ORG,Durga Prasad More,ACTOR,,1,informative,,"The Income-tax Officer, the Appellate Assistant Commissioner as well as the Tribunal have referred to these Commissioner Of Income-Tax, West ... vs Durga Prasad More on 26 August, 1971 documents in the course of the assessment proceedings."
1806,md,3,1,GPE,Md,,,0,non-informative,,"On the other hand, in Md. Mohar Ali vs. Md. Mamud Ali [ ], a learned Single Judge held that an agreement of sale was an unilateral contract (under which the vendor agreed to sell the immovable property to the purchaser in accordance with th"
1807,rahatullah khan,3,1,PERSON,Rahatullah Khan,ACTOR,,1,informative,,"Sometime in December, 1942, Mahajan Deolal submitted a proposal through one Rahatullah Khan, an agent of the respondent company at Narsingpur, for the insurance of his life with the respondent company for a sum of Rs."
1808,kanahyalal mehrotra,3,1,PERSON,Kanahyalal Mehrotra,ACTOR,,1,informative,,"One of the shops has been in possession of Raghunath Prasad Mehrotra, respondent no. 3 and his brother Kanahyalal Mehrotra who have been carrying on the business of Druggists and Chemists in the said shop as partners of the firm Pioneer Dru"
1809,public policy,3,1,ORG,Public Policy,ACTOR,,1,informative,,"Section 3 providing for restrictions on eviction as held by one of us (Mathew, J.) delivering the judgment on behalf of this Court in the case of Murlidhar Aggarwal Another v. State of Uttar Pradesh and others(1) is based on Public Policy."
1810,s. 7(1)(a,3,1,PERSON,S. 7(1)(A,,,0,non-informative,,Rule 3 provides that the District Magistrate shall make an allotment order within thirty days of the receipt of the intimation sent by the landlord under s. 7(1)(a) and .shall give notice thereof to the landlord.
1811,section 3(2,3,1,LAW,Section 3(2,,,0,non-informative,,Notice under Section 3(2) of the Andhra Pradesh (Andhra Area)
1812,hindu religious endowments board,3,1,EVENT,Hindu Religious Endowments Board,PROCEDURAL,,1,informative,,"The Inam Title Deed dated 29.11.1860 and the Inam Fair Register extract came up for consideration in Original Suit No. 314 of 1941 before District Munsiff's Court, Tenali, to which the respondent temple as well as the Hindu Religious Endowm"
1813,sub-court,3,1,ORG,Sub-Court,ACTOR,,1,informative,,"The Hindu Religious Endowments Board took up the matter in appeal in A.S. No. 63 of 1944, Sub-Court, Tenali, which was subsequently taken on file as A.S. No. 324 of 1944, Sub-Court, Bapatla, and was dismissed on 30.12.1944."
1814,s. n. variava,3,1,PERSON,S. N. Variava,ACTOR,,1,informative,,"ALL LR 310, (2001) 2 CIVLJ 409, (2000) 4 CURCC 30 Author: S. N. Variava Bench: V. N. Khare, S. N. Variava SURJIT KAUR Vs. NAURATA SINGH & 13/09/2000 V. N. Khare J. & S. N. Variava j. JUDGMENT: S. N. VARIAVA, J. L....T.......T.......T......."
1815,norata singh,3,1,PERSON,Norata Singh,ACTOR,,1,informative,,Surjit Kaur stated that she was ready to execute the sale deed but Norata Singh stated that as per written agreement there is a condition precedent and therefore he was ready to get sale deed executed after deliver of possession of land.
1816,section 12(3,3,1,LAW,Section 12(3,,,0,non-informative,,"The question which arises, in this case, is whether the 1st Respondent is entitled to the benefit of Section 12(3) of the Specific Relief Act."
1817,ferozabad,3,1,NORP,Ferozabad,ACTOR,,1,informative,,She alleged in the plaint that the demised property is situate beyond the municipal limits of Ferozabad and is intended for use as a factory and is exempt from the provision of the Act and that the respondent is in arrears of rent to the ex
1818,s. 14 of,3,1,ORG,S. 14 Of,ACTOR,,1,informative,,The High Court dismissed the appeal of the appellant on the ground that a statutory tenant re893 maining in possession after determination of its contractual tenancy was in law not competent to sublet the premises in whole or in part and a 
1819,roe v. russel,3,1,LAW,Roe V. Russel,RULE,,1,informative,,"Roe v. Russel, [1928] 2 K. B. 117, Lewis v. Reeves, [1951] 2 All E. R. 855, Krishna Prasad Bose v. Sm."
1820,campbell,3,1,ORG,Campbell,ACTOR,,1,informative,,"Baker v. Turner, [1950] A. C. 401, Keeves v. Dean, [1924] 1 K. B. 685, Roe v. Russel, [1928] 2 K. B. 117, Campbell v. Lill, (1926) 135 L. T. 26, Vevindramuthu Pillai v. Maya Nandan, (1920) 1."
1821,l. t. 26,3,1,PERSON,L. T. 26,,,0,non-informative,,"Baker v. Turner, [1950] A. C. 401, Keeves v. Dean, [1924] 1 K. B. 685, Roe v. Russel, [1928] 2 K. B. 117, Campbell v. Lill, (1926) 135 L. T. 26, Vevindramuthu Pillai v. Maya Nandan, (1920) 1."
1822,english act,3,1,LAW,English Act,RULE,,1,informative,,that s. 1 [1928] 2 K. B. 117. (2) (1926) 135 L. T. 26. 4(1)(h) of the English Act of 1923 dealt only with contractual tenants was expressly rejected on the ground that the word meant both contractual and statutory tenants throughout the sec
1823,greater bombay,3,1,ORG,Greater Bombay,ACTOR,,1,informative,,The Act by s. 2 applies only to notices in respect of suits or proceedings which relate to immoveable property situate wholly or partly in Greater Bombay.
1824,saharanpur municipality,3,1,GPE,Saharanpur Municipality,EVIDENCE,,1,informative,,"The mills are situated outside Saharanpur Municipality but their goods, which are carried in trucks, have to pass the export barrier to enter the station yard from where they are booked without any sorting or change of bulk to destinations "
1825,ayyangar,3,1,ORG,Ayyangar,ACTOR,,1,informative,,"Vs. SHANKARLAL PODDAR AND 24/01/1963 AYYANGAR, N. RAJAGOPALA AYYANGAR, N. RAJAGOPALA IMAM, SYED JAFFER SUBBARAO, K. MUDHOLKAR, J.R. ACT: Company Law-Sate-Confirmed by Company Judge-Set aside by Division Bench-Administrative and judicial ord"
1826,m/s. verma agro industries,3,1,ORG,M/S. Verma Agro Industries,ACTOR,,1,informative,,"In 1991 the respondent bank filed a suit against M/s. Verma Agro Industries, Khem Chand and the appellant's husband Mam Chand."
1827,s. 43 of,3,1,ORG,S. 43 Of,ACTOR,,1,informative,,"On appeal by special leave, the appellant's main contention was that the cultivating rights in the sir lands could not be the subject matter of sale in execution of the decree in view of s. 43 of the Abolition Act."
1828,yusaf,3,1,PERSON,Yusaf,ACTOR,,1,informative,,Yusaf obtained a money decree for Rs.
1829,d.c.bhatia,3,1,LOC,D.C.Bhatia,EVIDENCE,,1,informative,,The law declared by this Court is clear that the D.C.Bhatia's case was applicable to the provisions of Karnataka Rent Control Act.
1830,ram kishan,3,1,PERSON,Ram Kishan,ACTOR,,1,informative,,"Ram Kishan Singh vs Harmit Kaur And on 9 December, , 1972(4)UJ424(SC), SUPREME COURT 468, 1972 SCD 343 74 PUN LR 712, 74 PUN LR 712 Author: A.N. Ray Bench: A.N. Ray, D.G. Palekar JUDGMENT A.N. Ray, J. 1."
1831,gholia khurd,3,1,PERSON,Gholia Khurd,ACTOR,,1,informative,,The family lived at a place called Gholia Khurd and cultivated land.
1832,jalalabad,3,1,GPE,Jalalabad,EVIDENCE,,1,informative,,Hazura Singh had also land at Jalalabad.
1833,hara singh,3,1,PERSON,Hara Singh,ACTOR,,1,informative,,Parties went to eat at the house of Hara Singh and returned at about 11 P.M.
1834,h.c. ghildiyal,3,1,PERSON,H.C. Ghildiyal,ACTOR,,1,informative,,"Vacancy in the first floor arose, several persons including the appellant, H.C. Ghildiyal and Ramakant Srivastava made applications for allotment of the same."
1835,mauji ram gupta's,3,1,PERSON,Mauji Ram Gupta'S,ACTOR,,1,informative,,"District Magistrate, respondent No. 4 by his Order dt. 25.2.76 rejected Mauji Ram Gupta's application and allotted the premises to H.C. Ghildiyal, but he did not occupy the premises; instead he informed respondent no. 4 that he did not requ"
1836,state of travancore-cochin,3,1,ORG,State Of Travancore-Cochin,ACTOR,,1,informative,,"State of Travancore-Cockin v. The Bombay Co. Ltd., [1952] S.C.R. 1112 and State of Travancore-Cochin v. Shanmugha Vilas Cashew Nut Factory, [1954] S.C.R. 53, relied on."
1837,article 286(1)(a,3,1,LAW,Article 286(1)(A,,,0,non-informative,,"Commissioner of Sales Tax and others(2), it was observed as follows: ""So far as article 286(1)(a) is concerned, the Explanation determines by the legal fiction created therein the situs of the sale in the case of transactions coming within "
1838,mudholkar,3,1,ORG,Mudholkar,ACTOR,,1,informative,,"J.R. Mudholkar, Syed Jaffer Imam, N. Rajagopala Ayyangar TULSI RAM Vs. STATE OF U. P. 27/09/1962 MUDHOLKAR, J.R. MUDHOLKAR, J.R. IMAM, SYED JAFFER SUBBARAO, K. AYYANGAR, N. RAJAGOPALA CITATION: 1963 Supl."
1839,s. 120b,3,1,PERSON,S. 120B,ACTOR,,1,informative,,"In appeal the High Court set aside the'conviction and sentences passed on Tulsi Ram, Beni,, Gopal, Babu Lal and Moti Lal of offences under, s. 471 read with ss. 467 and 468, I.P.C. and also fitted Moti Lal of the offence under s. 417, I.P.C"
1840,sri niwas,3,1,PERSON,Sri Niwas,ACTOR,,1,informative,,A. 62 of 1958 would be clear from thefollowing genealogical table Bhairo Prasad ------------------------------------------------------------- Sri Niwas (accused) Sagar Mal ------------------------------------------------------------- : : : 
1841,hanuman prasad,3,1,PERSON,Hanuman Prasad,ACTOR,,1,informative,,"To enable Murarka brothers at Calcutta to honour the hundis on presentation Lachhimi Narain and Tulsi Ram, the _acquitted accused Srinivas and a munim of theirs named Hanuman Prasad, who was also an accused but died during investigation, us"
1842,p. c,3,1,PERSON,P. C,ACTOR,,1,informative,,"The High Court has affirmed the conviction of Tulsi Ram and Beni Gopal for offences under s. 417/ 420, 1. P. C."
1843,c.as,3,1,GPE,C.As,EVIDENCE,,1,informative,,K. Jayaram for the appellants in C.As.
1844,kochuni,3,1,ORG,Kochuni,ACTOR,,1,informative,,"In Kochuni's case, however, the effect of the Constitution Fourth Amendment Act 1955 on Art."
1845,sole arbitrator,3,1,ORG,Sole Arbitrator,ACTOR,,1,informative,,"It is prayed in the application that Hon'ble Mr. Justice M. L. Pendse (Retired) be appointed as Sole Arbitrator, or in the alternative, any other retired Judge of a High Court may be appointed as an Arbitrator."
1846,kidderminster,3,1,PERSON,Kidderminster,ACTOR,,1,informative,,"In Attwood v. Lamont, (1920) 2 KB 146, the plaintiff was carrying on business as a draper, tailor and general outfitter at Kidderminster."
1847,indradeo singh,3,1,ORG,Indradeo Singh,ACTOR,,1,informative,,"1029 of 2000 RAMJI SINGH & Vs. STATE OF BIHAR 12/10/2001 R.C. Lahoti & Ashok Bhan JUDGMENT: ASHOK BHAN, J. Unresolved dispute over property led to the murder of Indradeo Singh at the hands of his brother Ramji Singh, appellant No. 1 and his"
1848,bachcha pandey,3,1,PERSON,Bachcha Pandey,ACTOR,,1,informative,,"Incident took place on 28th September, 1983 at 7.00 A.M. near the place of Bachcha Pandey towards the west of house of the deceased."
1849,ramji singh,3,1,GPE,Ramji Singh,EVIDENCE,,1,informative,,"While she was brooming her house, she heard the shouts of her daughter, hearing which, she came out of her house and saw that towards the West, in front of door of Bachcha Pandy, Bhanu Singh and Ramji Singh had caught hold of waist of her h"
1850,hira lal singh,3,1,PERSON,Hira Lal Singh,ACTOR,,1,informative,,"The occurrence were witnessed by Dular Chand Rai, PW 6, Hira Lal Singh, PW 11 and Kabutari Devi, PW 8."
1851,kabutari devi,3,1,PERSON,Kabutari Devi,ACTOR,,1,informative,,"The occurrence were witnessed by Dular Chand Rai, PW 6, Hira Lal Singh, PW 11 and Kabutari Devi, PW 8."
1852,pw 9,3,1,ORG,Pw 9,ACTOR,,1,informative,,"PW 1, Hira Lal Rai son of PW 6; PW 2, Radha Kumari, aged 14 years, daughter of deceased; PW 3 Mira Kumari, aged 8 years (tendered) daughter of deceased; PW 4, Rajpati Devi, wife of the deceased; PW 6, Dularchand Rai; PW 8, Kabutari Devi; PW"
1853,nawal kishore,3,1,PERSON,Nawal Kishore,ACTOR,,1,informative,,"Medical evidence consisted of PW 5, Doctor Suresh Prasad and PW 7, Doctor Nawal Kishore Prasad Seh."
1854,r.i,3,1,GPE,R.I,EVIDENCE,,1,informative,,Ved Prakash Singh was further sentenced to one year R.I. and three years R.I. under Sections 323 and 324 IPC respectively and Bhanu Singh was further sentenced to one year R.I. under Section 323 IPC.
1855,pay commission,3,1,ORG,Pay Commission,ACTOR,,1,informative,,"It was observed: ""Another stand taken by respondents Nos. 1 and 2 in their reply affidavit that in case same scales of pay have been prescribed by Pay Commission for two posts, one promotional to another, the old relativities are no more va"
1856,administrative law,3,1,ORG,Administrative Law,ACTOR,,1,informative,,"And vs S.B. Vohra And on 5 January, 2004 The scope of judicial review in the context of grant of contract has been the subject matter of a decision of this Court in Sterling Computers Limited Vs. M/s. M&N Publications Limited and Others [ ]"
1857,labour inspector,3,1,ORG,Labour Inspector,ACTOR,,1,informative,,A Superintendent in the Labour Department who is holding a higher pay scale and higher status cannot seek promotion to the post of Labour Inspector which post is lower in grade and status.
1858,padmasani ammal,3,1,PERSON,Padmasani Ammal,ACTOR,,1,informative,,"In that document they admit as follows:-- ""Since the husband of Padmasani Ammal, the individual No. 1 and the father of individuals Nos. 2 and 3, viz.,"
1859,shankaracharya,3,1,PERSON,Shankaracharya,ACTOR,,1,informative,,"We have heard Shri F.S. Nariman, learned senior counsel for the petitioner, Shri Ashok Desai, learned senior counsel, who has appeared for respondent No. 6 Vijayendra Saraswati Swamigal (junior Shankaracharya) and Shri G.L. Sanghi, learned "
1860,a. shanmugam,3,1,PERSON,A. Shanmugam,ACTOR,,1,informative,,"Besides him Shri A. Shanmugam, who has a standing of 27 years at the Bar and some other lawyers are also appearing for him."
1861,shri a. shanmugam,3,1,PERSON,Shri A. Shanmugam,ACTOR,,1,informative,,"Shri K.S. Dinakaran, in his letter dated 23.9.2005 sent to Shri Krishna Kumar, Advocate on Record for the petitioner in the Supreme Court (copy of which has been placed on record), has mentioned that the said incident did take place in the "
1862,revathy vasudevan,3,1,PERSON,Revathy Vasudevan,ACTOR,,1,informative,,"One Mrs. Revathy Vasudevan is an advocate practicing at Kanchipuram and she is junior of Shri A. Shanmugam, Advocate."
1863,nadhira banu,3,1,PERSON,Nadhira Banu,ACTOR,,1,informative,,Another lady lawyer Mrs. Nadhira Banu is also practicing at Kanchipuram and is junior of Shri Y. Thiagarajan.
1864,section 102,3,1,LAW,Section 102,RULE,,1,informative,,"The scope and applicability of Section 102, Cr.P.C. is under rare and exceptional circumstances and is to be applied only to the assets of the accused, which are the direct outcome of the crime and not to stifle the activities of the Mutt w"
1865,jayendra saraswathi,3,1,PERSON,Jayendra Saraswathi,ACTOR,,1,informative,,"This Court granted bail to the petitioner Jayendra Saraswathi on 10th January, 2005 and the detention orders have been passed between 13th to 25th January, 2005, while these 16 co-accused were still in custody in the murder case."
1866,pondicherry,3,1,GPE,Pondicherry,EVIDENCE,,1,informative,,"Dr. Rajiv Dhawan, learned counsel for the respondents, has submitted that if at all the case is transferred, it should be transferred to Pondicherry as the language spoken there is Tamil and it is only at a distance of 70 kms."
1867,gopal raj swarup,3,1,PERSON,Gopal Raj Swarup,,,0,non-informative,,"] Gopal Raj Swarup v, Commissioner of Wealth-tax, Lucknow, 77 I.T.R. 9 12; Indian Glass Agency v. Commissioner of Income-Tax, New Delhi, 137 I.T.R. 245; New India Colour Co. v. Commissioner of Income Tax, New Delhi, 80 I.T.R. 206; Commissio"
1868,wealth-tax,3,1,ORG,Wealth-Tax,ACTOR,,1,informative,,"Commissioner of Income-Tax, Bombay City-H, 59 I.T.R. 278; Virji Devshi v. Commissioner of Income-Tax, Bombay, 65 I.T.R. 291; E.M.V. Muthappa Chettiar v. Commisioner of Income-Tax, Madras, 13 I.T.R 311; Mrs. Ida L. Chambers and Three Others "
1869,tika ram,3,1,PERSON,Tika Ram,ACTOR,,1,informative,,"The assessee, Dr. R.S. Gupta had maintained an account in the books of Messrs. Tika Ram and Sons Pvt. Ltd."
1870,tika ram & sons,3,1,ORG,Tika Ram & Sons,ACTOR,,1,informative,,But it appears that it was admitted position that Tika Ram & Sons had a cash balance of Rs.4000 only on 1.1.1957 and it did not have any overdraft facilities with any bank.
1871,section 5 of the limitation act,3,1,LAW,Section 5 Of The Limitation Act,RULE,PROCEDURE-REMEDY,1,informative,,"As such courts while considering the question of limitation for an offence under Section 498 A i.e. subjecting a women to cruelty by her husband or the relative of her husband, should judge that question in the light of Section 473 (if the "
1872,u. p. panchayat raj act,3,1,PERSON,U. P. Panchayat Raj Act,,,0,non-informative,,"THE STATE OF U. P. 15/03/1955 JAGANNADHADAS, B. JAGANNADHADAS, B. BOSE, VIVIAN SINHA, BHUVNESHWAR P. CITATION: 1955 (1)1444 ACT: U. P. Panchayat Raj Act, 1947 (U. P. Act XXVI of 1947), ss. 49 (1)(2)(4), 52, 55-Rule 84 framed by State Govern"
1873,panchayati,3,1,NORP,Panchayati,ACTOR,,1,informative,,"Rule 84 framed by the State Government under s. 49(4) of the Act reads as follows:- "" For the purposes of trial or decision of any case or proceeding parties of which are residents of different circles or different districts or any one of t"
1874,section 55 of the act,3,1,LAW,Section 55 Of The Act,RULE,,1,informative,,"If so, the jurisdiction of the regular Magistrate would appear to be barred under section 55 of the Act, since it is,not suggested that there has been any order under section 85."
1875,river wear commissioners,3,1,FAC,River Wear Commissioners,EVIDENCE,,1,informative,,"In River Wear Commissioners, the Harbours, Docks and Piers Act, 1847 enacted 21."
1876,article 211,3,1,LAW,Article 211,RULE,CONSTITUTIONAL,1,informative,,Then there is Article 211 which prohibits any discussion in the Legislature of a State with respect to the conduct of a Judge of a High Court in the discharge of his duties.
1877,article 215,3,1,LAW,Article 215,RULE,CONSTITUTIONAL,1,informative,,Article 215 confers upon the High Court a power to punish for contempt of itself and thus protect itself against interference in the course of administration of justice from whatever source it may come.
1878,holmes,3,1,PERSON,Holmes,ACTOR,,1,informative,,"It was said by Mr. Justice Holmes in felicitous language in Town v. Elsner, 245 U.S. 418 that ""a word is not a crystal, transferant and unchanged; it is the skin of a living thought and may vary greatly in colour and content according to th"
1879,article 141,3,1,LAW,Article 141,RULE,CONSTITUTIONAL,1,informative,,The turn for similar 'transferal' treatment may come tomorrow for others too unless the constitutional calculus is authoritatively spelt out by this Court under Article 141.
1880,people of india,3,1,ORG,People Of India,ACTOR,,1,informative,,"Where, under our adversary system, a critical constitutional question arises, whose decision may, perhaps, mark the water-shed between flexible judges and fearless justice, the quality of a litigation is transformed, the particular parties "
1881,article 224a,3,1,LAW,Article 224A,RULE,CONSTITUTIONAL,1,informative,,"Thirdly, whenever consent of the judge is contemplated, it is specifically stated e.g. Article 224A and its omission in Article 222 is a pointer to the nonconsensual sense."
1882,pearce,3,1,PERSON,Pearce,ACTOR,,1,informative,,"I am tempted to adopt the reasoning of Lord Reid and Lord Pearce given in the quotations of their speeches in the case of Rondel v. Worsity [1969] 1 A.C., 191,-"
1883,k.m. joseph,3,1,PERSON,K.M. Joseph,ACTOR,,1,informative,,"Jacob Punnen vs United India Insurance Co;Ltd on 9 December, Author: S. Ravindra Bhat Bench: K.M. Joseph, S. Ravindra Bhat REPORTABLE IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION CIVIL APPEAL"
1884,gold policy,3,1,ORG,Gold Policy,ACTOR,,1,informative,,All other Policyholders will be brought under the Gold Policy.
1885,nordea,3,1,ORG,Nordea,ACTOR,,1,informative,,"The Court of Appeal rejected the insurer’s objection, and held as follows: “Against the background of these principles, which in the absence of relevant submission from the parties I am content to adopt, then, the argument was to be conduct"
1886,sherdleys,3,1,GPE,Sherdleys,EVIDENCE,,1,informative,,"That would be because, although the Sherdleys had signed the proposal acceptance forms, Nordea had not brought to the Sherdleys' attention that, on page 6 of the proposal, an applicable law and jurisdiction clause was now proposed in a form"
1887,insurer,3,1,ORG,Insurer,ACTOR,,1,informative,,The Insurer brought about a change in the policy.
1888,a.p. panchayat raj act,3,1,PERSON,A.P. Panchayat Raj Act,,,0,non-informative,,"Section 169 of the A.P. Panchayat Raj Act, 1994 deals with creation of the posts of officers and employees of the Mandal Parishad, the method of recruitment and conditions of service."
1889,section 92,3,1,LAW,Section 92,RULE,,1,informative,,The excluded and the partially excluded areas were areas so declared by order in Council under Section 91 and under Section 92.
1890,article 370(1,3,1,LAW,Article 370(1,,,0,non-informative,,"However, in the context of Article 370(1) of the Constitution of India in Puranlal Lakhanpal v. President of India & , , the power is given to the President to efface effect of any provision of law altogether in its application to the State"
1891,puranlal lakhanpal,3,1,PERSON,Puranlal Lakhanpal,ACTOR,,1,informative,,"However, in the context of Article 370(1) of the Constitution of India in Puranlal Lakhanpal v. President of India & , , the power is given to the President to efface effect of any provision of law altogether in its application to the State"
1892,section 392,3,1,LAW,Section 392,RULE,,1,informative,,"In the context of Section 392, “modification” would mean addition to the scheme of compromise and/or arrangement or omission therefrom solely to make it workable."
1893,basic structure doctrine,3,1,LAW,Basic Structure Doctrine,RULE,,1,informative,,"The fifth Schedule under Article 244(1) of the Constitution is part of the original text, and hence, it must not be tested under the Basic Structure Doctrine."
1894,article 31-b,3,1,LAW,Article 31-B,RULE,CONSTITUTIONAL,1,informative,,"Thus, insofar as the validity of Article 31-B read with the Ninth Schedule is concerned, we hold that all Acts and Regulations included in the Ninth Schedule prior to April 24, 1973 will receive the full protection of Article 31-B."
1895,e.p. royappa,3,1,PERSON,E.P. Royappa,ACTOR,,1,informative,,"It was for the first time in E.P. Royappa v. State of Tamil Nadu, : , that this Court laid bare a new dimension of Article 14 and pointed out that that article has highly activist magnitude and it embodies a guarantee against arbitrariness."
1896,article 2,3,1,LAW,Article 2,RULE,CONSTITUTIONAL,1,informative,,The provisions of clause (f) of Article 371-F and Article 2 have to be construed harmoniously consistent with the foundational principles and basic features of the Constitution.
1897,fazal ghafoor,3,1,PERSON,Fazal Ghafoor,ACTOR,,1,informative,,"The preferences given to the local areas within the meaning of Presidential notification or exclusion of non−local areas cadre will not offend Article 14 of the Constitution, for which reliance has been placed on Sandeep and v. Union of Ind"
1898,assembly,3,1,ORG,Assembly,ACTOR,,1,informative,,We must remove this contradiction at the earliest possible moment or else those suffer from inequality will blow up the structure of political democracy which this Assembly has so laboriously built up.
1899,thomas,3,1,PERSON,Thomas,ACTOR,,1,informative,,"To the same effect is the opinion of Khanna, J in Thomas, though it is a minority opinion."
1900,devadasan,3,1,ORG,Devadasan,ACTOR,,1,informative,,"In his dissenting opinion in Devadasan while holding that there is no conflict between Article 16(4) and Article 335, he did say, ""it is inevitable in the nature of reservation that there will be a lowering of standards to some extent,"" but"
1901,article 46,3,1,LAW,Article 46,RULE,CONSTITUTIONAL,1,informative,,"Even Article 16 and the directive of Article 46, it is said, should be read subject to the aforesaid mandate of Article 335. 835."
1902,m. nagaraj,3,1,PERSON,M. Nagaraj,ACTOR,,1,informative,,"In M. Nagaraj and v. Union of India and , , it was held that the ceiling limit of the reservation is 50% without which structure of equality of opportunity in Article 16 would collapse."
1903,article 243-d,3,1,LAW,Article 243-D,RULE,CONSTITUTIONAL,1,informative,,"Now, after the seventy-third and seventy-fourth constitutional amendments, the constitution of local bodies has been granted a constitutional protection and Article 243-D mandates that a seat be reserved for the Scheduled Castes and Schedul"
1904,jpra,3,1,ORG,Jpra,ACTOR,,1,informative,,"Sections 17(B)(1), 36(B)(1) and 51(B)(1) of JPRA merely give effect to the exceptional treatment that is mandated by the PESA Act.” (c)."
1905,drafting committee,3,1,ORG,Drafting Committee,ACTOR,,1,informative,,"Ultimately Dr. B.R. Ambedkar, the Chairman of the Drafting Committee, got up to clarify the matter."
1906,moefcc,3,1,ORG,Moefcc,ACTOR,,1,informative,,3. Learned Amicus Curiae submits that he has only one suggestion to the draft notification i.e. there should be a provision for periodical audit of the functioning of the CEC by the MoEFCC. 4.
1907,wildlife protection act,3,1,LAW,Wildlife Protection Act,RULE,,1,informative,,"Authorities concerning protection of wildlife under the Wildlife Protection Act, 1972: The Central Government appoints a Director of Wild Life Preservation and the State Government appoints Chief Wild Life Wardens, Wild Life Wardens, and Ho"
1908,ngt,3,1,ORG,Ngt,ACTOR,,1,informative,,"National Green Tribunal (NGT) has been constituted by the Central Government by notification under the NGT Act, 2010.48"
1909,state commissions,3,1,ORG,State Commissions,ACTOR,,1,informative,,"This being so, it held that it was the appropriate Commission under the Act and not the respective State Commissions, which had jurisdiction in the matter."
1910,state electricity regulatory commissions,3,1,ORG,State Electricity Regulatory Commissions,ACTOR,,1,informative,,16 States have so far notified/created State Electricity Regulatory Commissions either under the Central Act or under their own Reform Acts.
1911,project documents,3,1,ORG,Project Documents,ACTOR,,1,informative,,Non-Natural Force Majeure Events: Direct Non-Natural Force Majeure Events Nationalization or compulsory acquisition by any Indian Government Instrumentality or any material assets or rights of the Seller or the Seller’s contractors; or The 
